iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
25,"(21, 3)","(22, 3)",West,"[(20, 3) via West]","[(21, 3):20.09975124224178, (23, 2):22.02271554554524, (25, 4):24.186773244895647, (27, 2):26.019223662515376, (27, 4):26.1725046566048, (31, 6):30.4138126514911, (33, 4):32.14031735997639, (35, 4):34.132096331752024]","[(20, 3):19.1049731745428, (23, 2):22.02271554554524, (25, 4):24.186773244895647, (27, 2):26.019223662515376, (27, 4):26.1725046566048, (31, 6):30.4138126514911, (33, 4):32.14031735997639, (35, 4):34.132096331752024]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (26, 3), (25, 3), (24, 3), (23, 3), (22, 3)]",20,20.09975124224178,20.09975124224178
26,"(20, 3)","(21, 3)",West,"[(19, 3) via West]","[(20, 3):19.1049731745428, (23, 2):22.02271554554524, (25, 4):24.186773244895647, (27, 2):26.019223662515376, (27, 4):26.1725046566048, (31, 6):30.4138126514911, (33, 4):32.14031735997639, (35, 4):34.132096331752024]","[(19, 3):18.110770276274835, (23, 2):22.02271554554524, (25, 4):24.186773244895647, (27, 2):26.019223662515376, (27, 4):26.1725046566048, (31, 6):30.4138126514911, (33, 4):32.14031735997639, (35, 4):34.132096331752024]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (26, 3), (25, 3), (24, 3), (23, 3), (22, 3), (21, 3)]",21,19.1049731745428,19.1049731745428
27,"(19, 3)","(20, 3)",West,"[(18, 3) via West]","[(19, 3):18.110770276274835, (23, 2):22.02271554554524, (25, 4):24.186773244895647, (27, 2):26.019223662515376, (27, 4):26.1725046566048, (31, 6):30.4138126514911, (33, 4):32.14031735997639, (35, 4):34.132096331752024]","[(18, 3):17.11724276862369, (23, 2):22.02271554554524, (25, 4):24.186773244895647, (27, 2):26.019223662515376, (27, 4):26.1725046566048, (31, 6):30.4138126514911, (33, 4):32.14031735997639, (35, 4):34.132096331752024]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (26, 3), (25, 3), (24, 3), (23, 3), (22, 3), (21, 3), (20, 3)]",22,18.110770276274835,18.110770276274835
28,"(18, 3)","(19, 3)",West,"[(17, 3) via West]","[(18, 3):17.11724276862369, (23, 2):22.02271554554524, (25, 4):24.186773244895647, (27, 2):26.019223662515376, (27, 4):26.1725046566048, (31, 6):30.4138126514911, (33, 4):32.14031735997639, (35, 4):34.132096331752024]","[(17, 3):16.1245154965971, (23, 2):22.02271554554524, (25, 4):24.186773244895647, (27, 2):26.019223662515376, (27, 4):26.1725046566048, (31, 6):30.4138126514911, (33, 4):32.14031735997639, (35, 4):34.132096331752024]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (26, 3), (25, 3), (24, 3), (23, 3), (22, 3), (21, 3), (20, 3), (19, 3)]",23,17.11724276862369,17.11724276862369
29,"(17, 3)","(18, 3)",West,"[(16, 3) via West]","[(17, 3):16.1245154965971, (23, 2):22.02271554554524, (25, 4):24.186773244895647, (27, 2):26.019223662515376, (27, 4):26.1725046566048, (31, 6):30.4138126514911, (33, 4):32.14031735997639, (35, 4):34.132096331752024]","[(16, 3):15.132745950421556, (23, 2):22.02271554554524, (25, 4):24.186773244895647, (27, 2):26.019223662515376, (27, 4):26.1725046566048, (31, 6):30.4138126514911, (33, 4):32.14031735997639, (35, 4):34.132096331752024]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (26, 3), (25, 3), (24, 3), (23, 3), (22, 3), (21, 3), (20, 3), (19, 3), (18, 3)]",24,16.1245154965971,16.1245154965971
30,"(16, 3)","(17, 3)",West,"[(15, 3) via West]","[(16, 3):15.132745950421556, (23, 2):22.02271554554524, (25, 4):24.186773244895647, (27, 2):26.019223662515376, (27, 4):26.1725046566048, (31, 6):30.4138126514911, (33, 4):32.14031735997639, (35, 4):34.132096331752024]","[(15, 3):14.142135623730951, (23, 2):22.02271554554524, (25, 4):24.186773244895647, (27, 2):26.019223662515376, (27, 4):26.1725046566048, (31, 6):30.4138126514911, (33, 4):32.14031735997639, (35, 4):34.132096331752024]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (26, 3), (25, 3), (24, 3), (23, 3), (22, 3), (21, 3), (20, 3), (19, 3), (18, 3), (17, 3)]",25,15.132745950421556,15.132745950421556
31,"(15, 3)","(16, 3)",West,"[(15, 4) via North, (15, 2) via South, (14, 3) via West]","[(15, 3):14.142135623730951, (23, 2):22.02271554554524, (25, 4):24.186773244895647, (27, 2):26.019223662515376, (27, 4):26.1725046566048, (31, 6):30.4138126514911, (33, 4):32.14031735997639, (35, 4):34.132096331752024]","[(14, 3):13.152946437965905, (15, 2):14.035668847618199, (15, 4):14.317821063276353, (23, 2):22.02271554554524, (25, 4):24.186773244895647, (27, 2):26.019223662515376, (27, 4):26.1725046566048, (31, 6):30.4138126514911, (33, 4):32.14031735997639, (35, 4):34.132096331752024]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (26, 3), (25, 3), (24, 3), (23, 3), (22, 3), (21, 3), (20, 3), (19, 3), (18, 3), (17, 3), (16, 3)]",26,14.142135623730951,14.142135623730951
32,"(14, 3)","(15, 3)",West,"[(13, 3) via West]","[(14, 3):13.152946437965905, (15, 2):14.035668847618199, (15, 4):14.317821063276353, (23, 2):22.02271554554524, (25, 4):24.186773244895647, (27, 2):26.019223662515376, (27, 4):26.1725046566048, (31, 6):30.4138126514911, (33, 4):32.14031735997639, (35, 4):34.132096331752024]","[(13, 3):12.165525060596439, (15, 2):14.035668847618199, (15, 4):14.317821063276353, (23, 2):22.02271554554524, (25, 4):24.186773244895647, (27, 2):26.019223662515376, (27, 4):26.1725046566048, (31, 6):30.4138126514911, (33, 4):32.14031735997639, (35, 4):34.132096331752024]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (26, 3), (25, 3), (24, 3), (23, 3), (22, 3), (21, 3), (20, 3), (19, 3), (18, 3), (17, 3), (16, 3), (15, 3)]",27,13.152946437965905,13.152946437965905
33,"(13, 3)","(14, 3)",West,"[(13, 4) via North]","[(13, 3):12.165525060596439, (15, 2):14.035668847618199, (15, 4):14.317821063276353, (23, 2):22.02271554554524, (25, 4):24.186773244895647, (27, 2):26.019223662515376, (27, 4):26.1725046566048, (31, 6):30.4138126514911, (33, 4):32.14031735997639, (35, 4):34.132096331752024]","[(13, 4):12.36931687685298, (15, 2):14.035668847618199, (15, 4):14.317821063276353, (23, 2):22.02271554554524, (25, 4):24.186773244895647, (27, 2):26.019223662515376, (27, 4):26.1725046566048, (31, 6):30.4138126514911, (33, 4):32.14031735997639, (35, 4):34.132096331752024]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (26, 3), (25, 3), (24, 3), (23, 3), (22, 3), (21, 3), (20, 3), (19, 3), (18, 3), (17, 3), (16, 3), (15, 3), (14, 3)]",28,12.165525060596439,12.165525060596439
34,"(13, 4)","(13, 3)",North,"[(13, 5) via North]","[(13, 4):12.36931687685298, (15, 2):14.035668847618199, (15, 4):14.317821063276353, (23, 2):22.02271554554524, (25, 4):24.186773244895647, (27, 2):26.019223662515376, (27, 4):26.1725046566048, (31, 6):30.4138126514911, (33, 4):32.14031735997639, (35, 4):34.132096331752024]","[(13, 5):12.649110640673518, (15, 2):14.035668847618199, (15, 4):14.317821063276353, (23, 2):22.02271554554524, (25, 4):24.186773244895647, (27, 2):26.019223662515376, (27, 4):26.1725046566048, (31, 6):30.4138126514911, (33, 4):32.14031735997639, (35, 4):34.132096331752024]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (26, 3), (25, 3), (24, 3), (23, 3), (22, 3), (21, 3), (20, 3), (19, 3), (18, 3), (17, 3), (16, 3), (15, 3), (14, 3), (13, 3)]",29,12.36931687685298,12.36931687685298
