iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
23,"(25, 3)","(26, 3)",West,"[(25, 4) via North, (24, 3) via West]","[(25, 3):26, (28, 1):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(24, 3):25, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (27, 1), (26, 3)]",16,26,26
24,"(24, 3)","(25, 3)",West,"[(23, 3) via West]","[(24, 3):25, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(23, 3):24, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (27, 1), (26, 3), (25, 3)]",17,25,25
25,"(23, 3)","(24, 3)",West,"[(23, 2) via South, (22, 3) via West]","[(23, 3):24, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(23, 2):23, (22, 3):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (27, 1), (26, 3), (25, 3), (24, 3)]",18,24,24
26,"(23, 2)","(23, 3)",South,"[(23, 1) via South]","[(23, 2):23, (22, 3):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(23, 1):22, (22, 3):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (27, 1), (26, 3), (25, 3), (24, 3), (23, 3)]",19,23,23
27,"(23, 1)","(23, 2)",South,"[(24, 1) via East, (22, 1) via West]","[(23, 1):22, (22, 3):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(22, 1):21, (22, 3):23, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (27, 1), (26, 3), (25, 3), (24, 3), (23, 3), (23, 2)]",20,22,22
28,"(22, 1)","(23, 1)",West,"[(21, 1) via West]","[(22, 1):21, (22, 3):23, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(21, 1):20, (22, 3):23, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (27, 1), (26, 3), (25, 3), (24, 3), (23, 3), (23, 2), (23, 1)]",21,21,21
29,"(21, 1)","(22, 1)",West,"[(20, 1) via West]","[(21, 1):20, (22, 3):23, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(20, 1):19, (22, 3):23, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (27, 1), (26, 3), (25, 3), (24, 3), (23, 3), (23, 2), (23, 1), (22, 1)]",22,20,20
30,"(20, 1)","(21, 1)",West,"[(19, 1) via West]","[(20, 1):19, (22, 3):23, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(19, 1):18, (22, 3):23, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (27, 1), (26, 3), (25, 3), (24, 3), (23, 3), (23, 2), (23, 1), (22, 1), (21, 1)]",23,19,19
31,"(19, 1)","(20, 1)",West,[],"[(19, 1):18, (22, 3):23, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(22, 3):23, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (27, 1), (26, 3), (25, 3), (24, 3), (23, 3), (23, 2), (23, 1), (22, 1), (21, 1), (20, 1)]",24,18,18
32,"(22, 3)","(23, 3)",West,"[(21, 3) via West]","[(22, 3):23, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(21, 3):22, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (27, 1), (26, 3), (25, 3), (24, 3), (23, 3), (23, 2), (23, 1), (22, 1), (21, 1), (20, 1), (19, 1)]",19,23,23
