iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(23, 6)",,,"[(23, 7) via North, (22, 6) via West]","[(23, 6)]","[(22, 6), (23, 7)]",[],0,0,0
2,"(22, 6)","(23, 6)",West,"[(21, 6) via West]","[(22, 6), (23, 7)]","[(21, 6), (23, 7)]","[(23, 6)]",1,0,1
3,"(21, 6)","(22, 6)",West,"[(20, 6) via West]","[(21, 6), (23, 7)]","[(20, 6), (23, 7)]","[(23, 6), (22, 6)]",2,0,2
4,"(20, 6)","(21, 6)",West,"[(19, 6) via West]","[(20, 6), (23, 7)]","[(19, 6), (23, 7)]","[(23, 6), (22, 6), (21, 6)]",3,0,3
5,"(19, 6)","(20, 6)",West,"[(19, 5) via South, (18, 6) via West]","[(19, 6), (23, 7)]","[(18, 6), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6)]",4,0,4
6,"(18, 6)","(19, 6)",West,"[(17, 6) via West]","[(18, 6), (19, 5), (23, 7)]","[(17, 6), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6)]",5,0,5
7,"(17, 6)","(18, 6)",West,"[(16, 6) via West]","[(17, 6), (19, 5), (23, 7)]","[(16, 6), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6)]",6,0,6
8,"(16, 6)","(17, 6)",West,"[(16, 7) via North, (15, 6) via West]","[(16, 6), (19, 5), (23, 7)]","[(15, 6), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6)]",7,0,7
9,"(15, 6)","(16, 6)",West,"[(14, 6) via West]","[(15, 6), (16, 7), (19, 5), (23, 7)]","[(14, 6), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6)]",8,0,8
10,"(14, 6)","(15, 6)",West,"[(13, 6) via West]","[(14, 6), (16, 7), (19, 5), (23, 7)]","[(13, 6), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6)]",9,0,9
11,"(13, 6)","(14, 6)",West,"[(12, 6) via West]","[(13, 6), (16, 7), (19, 5), (23, 7)]","[(12, 6), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6)]",10,0,10
12,"(12, 6)","(13, 6)",West,"[(11, 6) via West]","[(12, 6), (16, 7), (19, 5), (23, 7)]","[(11, 6), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6)]",11,0,11
13,"(11, 6)","(12, 6)",West,"[(11, 5) via South]","[(11, 6), (16, 7), (19, 5), (23, 7)]","[(11, 5), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6)]",12,0,12
14,"(11, 5)","(11, 6)",South,"[(11, 4) via South]","[(11, 5), (16, 7), (19, 5), (23, 7)]","[(11, 4), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6)]",13,0,13
15,"(11, 4)","(11, 5)",South,"[(11, 3) via South]","[(11, 4), (16, 7), (19, 5), (23, 7)]","[(11, 3), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5)]",14,0,14
16,"(11, 3)","(11, 4)",South,"[(11, 2) via South]","[(11, 3), (16, 7), (19, 5), (23, 7)]","[(11, 2), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4)]",15,0,15
17,"(11, 2)","(11, 3)",South,"[(10, 2) via West]","[(11, 2), (16, 7), (19, 5), (23, 7)]","[(10, 2), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3)]",16,0,16
18,"(10, 2)","(11, 2)",West,"[(9, 2) via West]","[(10, 2), (16, 7), (19, 5), (23, 7)]","[(9, 2), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2)]",17,0,17
19,"(9, 2)","(10, 2)",West,"[(9, 3) via North]","[(9, 2), (16, 7), (19, 5), (23, 7)]","[(9, 3), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2)]",18,0,18
20,"(9, 3)","(9, 2)",North,"[(9, 4) via North]","[(9, 3), (16, 7), (19, 5), (23, 7)]","[(9, 4), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2)]",19,0,19
21,"(9, 4)","(9, 3)",North,"[(9, 5) via North]","[(9, 4), (16, 7), (19, 5), (23, 7)]","[(9, 5), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3)]",20,0,20
22,"(9, 5)","(9, 4)",North,"[(9, 6) via North]","[(9, 5), (16, 7), (19, 5), (23, 7)]","[(9, 6), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4)]",21,0,21
23,"(9, 6)","(9, 5)",North,"[(9, 7) via North]","[(9, 6), (16, 7), (19, 5), (23, 7)]","[(9, 7), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5)]",22,0,22
24,"(9, 7)","(9, 6)",North,"[(8, 7) via West]","[(9, 7), (16, 7), (19, 5), (23, 7)]","[(8, 7), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6)]",23,0,23
25,"(8, 7)","(9, 7)",West,"[(7, 7) via West]","[(8, 7), (16, 7), (19, 5), (23, 7)]","[(7, 7), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7)]",24,0,24
26,"(7, 7)","(8, 7)",West,"[(7, 6) via South]","[(7, 7), (16, 7), (19, 5), (23, 7)]","[(7, 6), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7)]",25,0,25
27,"(7, 6)","(7, 7)",South,"[(7, 5) via South]","[(7, 6), (16, 7), (19, 5), (23, 7)]","[(7, 5), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7)]",26,0,26
28,"(7, 5)","(7, 6)",South,"[(7, 4) via South]","[(7, 5), (16, 7), (19, 5), (23, 7)]","[(7, 4), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (7, 6)]",27,0,27
29,"(7, 4)","(7, 5)",South,"[(7, 3) via South]","[(7, 4), (16, 7), (19, 5), (23, 7)]","[(7, 3), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5)]",28,0,28
30,"(7, 3)","(7, 4)",South,"[(7, 2) via South]","[(7, 3), (16, 7), (19, 5), (23, 7)]","[(7, 2), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5), (7, 4)]",29,0,29
31,"(7, 2)","(7, 3)",South,"[(6, 2) via West]","[(7, 2), (16, 7), (19, 5), (23, 7)]","[(6, 2), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3)]",30,0,30
32,"(6, 2)","(7, 2)",West,"[(5, 2) via West]","[(6, 2), (16, 7), (19, 5), (23, 7)]","[(5, 2), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (7, 2)]",31,0,31
33,"(5, 2)","(6, 2)",West,"[(5, 3) via North]","[(5, 2), (16, 7), (19, 5), (23, 7)]","[(5, 3), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (7, 2), (6, 2)]",32,0,32
34,"(5, 3)","(5, 2)",North,"[(5, 4) via North]","[(5, 3), (16, 7), (19, 5), (23, 7)]","[(5, 4), (16, 7), (19, 5), (23, 7)]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (7, 2), (6, 2), (5, 2)]",33,0,33
