iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
23,"(9, 11)","(10, 11)",West,"[(8, 11) via West]","[(9, 11), (22, 6)]","[(8, 11), (22, 6)]","[(23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (22, 11), (21, 11), (20, 11), (19, 11), (18, 11), (17, 11), (16, 11), (15, 11), (14, 11), (13, 11), (13, 10), (13, 9), (13, 8), (12, 11), (11, 11), (10, 11)]",19,0,19
24,"(8, 11)","(9, 11)",West,"[(7, 11) via West]","[(8, 11), (22, 6)]","[(7, 11), (22, 6)]","[(23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (22, 11), (21, 11), (20, 11), (19, 11), (18, 11), (17, 11), (16, 11), (15, 11), (14, 11), (13, 11), (13, 10), (13, 9), (13, 8), (12, 11), (11, 11), (10, 11), (9, 11)]",20,0,20
25,"(7, 11)","(8, 11)",West,"[(6, 11) via West]","[(7, 11), (22, 6)]","[(6, 11), (22, 6)]","[(23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (22, 11), (21, 11), (20, 11), (19, 11), (18, 11), (17, 11), (16, 11), (15, 11), (14, 11), (13, 11), (13, 10), (13, 9), (13, 8), (12, 11), (11, 11), (10, 11), (9, 11), (8, 11)]",21,0,21
26,"(6, 11)","(7, 11)",West,"[(5, 11) via West]","[(6, 11), (22, 6)]","[(5, 11), (22, 6)]","[(23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (22, 11), (21, 11), (20, 11), (19, 11), (18, 11), (17, 11), (16, 11), (15, 11), (14, 11), (13, 11), (13, 10), (13, 9), (13, 8), (12, 11), (11, 11), (10, 11), (9, 11), (8, 11), (7, 11)]",22,0,22
27,"(5, 11)","(6, 11)",West,"[(4, 11) via West, (5, 10) via South]","[(5, 11), (22, 6)]","[(5, 10), (4, 11), (22, 6)]","[(23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (22, 11), (21, 11), (20, 11), (19, 11), (18, 11), (17, 11), (16, 11), (15, 11), (14, 11), (13, 11), (13, 10), (13, 9), (13, 8), (12, 11), (11, 11), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11)]",23,0,23
28,"(5, 10)","(5, 11)",South,"[(5, 9) via South]","[(5, 10), (4, 11), (22, 6)]","[(5, 9), (4, 11), (22, 6)]","[(23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (22, 11), (21, 11), (20, 11), (19, 11), (18, 11), (17, 11), (16, 11), (15, 11), (14, 11), (13, 11), (13, 10), (13, 9), (13, 8), (12, 11), (11, 11), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11)]",24,0,24
29,"(5, 9)","(5, 10)",South,[],"[(5, 9), (4, 11), (22, 6)]","[(4, 11), (22, 6)]","[(23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (22, 11), (21, 11), (20, 11), (19, 11), (18, 11), (17, 11), (16, 11), (15, 11), (14, 11), (13, 11), (13, 10), (13, 9), (13, 8), (12, 11), (11, 11), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11), (5, 10)]",25,0,25
30,"(4, 11)","(5, 11)",West,"[(3, 11) via West]","[(4, 11), (22, 6)]","[(3, 11), (22, 6)]","[(23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (22, 11), (21, 11), (20, 11), (19, 11), (18, 11), (17, 11), (16, 11), (15, 11), (14, 11), (13, 11), (13, 10), (13, 9), (13, 8), (12, 11), (11, 11), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11), (5, 10), (5, 9)]",24,0,24
31,"(3, 11)","(4, 11)",West,"[(2, 11) via West]","[(3, 11), (22, 6)]","[(2, 11), (22, 6)]","[(23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (22, 11), (21, 11), (20, 11), (19, 11), (18, 11), (17, 11), (16, 11), (15, 11), (14, 11), (13, 11), (13, 10), (13, 9), (13, 8), (12, 11), (11, 11), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11), (5, 10), (5, 9), (4, 11)]",25,0,25
32,"(2, 11)","(3, 11)",West,"[(1, 11) via West]","[(2, 11), (22, 6)]","[(1, 11), (22, 6)]","[(23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (22, 11), (21, 11), (20, 11), (19, 11), (18, 11), (17, 11), (16, 11), (15, 11), (14, 11), (13, 11), (13, 10), (13, 9), (13, 8), (12, 11), (11, 11), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11), (5, 10), (5, 9), (4, 11), (3, 11)]",26,0,26
33,"(1, 11)","(2, 11)",West,"[(1, 10) via South]","[(1, 11), (22, 6)]","[(1, 10), (22, 6)]","[(23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (22, 11), (21, 11), (20, 11), (19, 11), (18, 11), (17, 11), (16, 11), (15, 11), (14, 11), (13, 11), (13, 10), (13, 9), (13, 8), (12, 11), (11, 11), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11), (5, 10), (5, 9), (4, 11), (3, 11), (2, 11)]",27,0,27
34,"(1, 10)","(1, 11)",South,"[(1, 9) via South]","[(1, 10), (22, 6)]","[(1, 9), (22, 6)]","[(23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (22, 11), (21, 11), (20, 11), (19, 11), (18, 11), (17, 11), (16, 11), (15, 11), (14, 11), (13, 11), (13, 10), (13, 9), (13, 8), (12, 11), (11, 11), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11), (5, 10), (5, 9), (4, 11), (3, 11), (2, 11), (1, 11)]",28,0,28
35,"(1, 9)","(1, 10)",South,"[(1, 8) via South]","[(1, 9), (22, 6)]","[(1, 8), (22, 6)]","[(23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (22, 11), (21, 11), (20, 11), (19, 11), (18, 11), (17, 11), (16, 11), (15, 11), (14, 11), (13, 11), (13, 10), (13, 9), (13, 8), (12, 11), (11, 11), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11), (5, 10), (5, 9), (4, 11), (3, 11), (2, 11), (1, 11), (1, 10)]",29,0,29
36,"(1, 8)","(1, 9)",South,"[(1, 7) via South]","[(1, 8), (22, 6)]","[(1, 7), (22, 6)]","[(23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (22, 11), (21, 11), (20, 11), (19, 11), (18, 11), (17, 11), (16, 11), (15, 11), (14, 11), (13, 11), (13, 10), (13, 9), (13, 8), (12, 11), (11, 11), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11), (5, 10), (5, 9), (4, 11), (3, 11), (2, 11), (1, 11), (1, 10), (1, 9)]",30,0,30
37,"(1, 7)","(1, 8)",South,"[(1, 6) via South]","[(1, 7), (22, 6)]","[(1, 6), (22, 6)]","[(23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (22, 11), (21, 11), (20, 11), (19, 11), (18, 11), (17, 11), (16, 11), (15, 11), (14, 11), (13, 11), (13, 10), (13, 9), (13, 8), (12, 11), (11, 11), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11), (5, 10), (5, 9), (4, 11), (3, 11), (2, 11), (1, 11), (1, 10), (1, 9), (1, 8)]",31,0,31
