iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
22,"(7, 12)","(7, 13)",South,"[(7, 11) via South]","[(7, 12):9, (1, 9):10, (7, 15):10]","[(1, 9):10, (7, 15):10, (7, 11):10]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14)]",9,0,9
23,"(1, 9)","(2, 9)",West,"[(1, 8) via South]","[(1, 9):10, (7, 15):10, (7, 11):10]","[(7, 15):10, (7, 11):10, (1, 8):11]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12)]",10,0,10
24,"(7, 15)","(7, 14)",North,"[(8, 15) via East]","[(7, 15):10, (7, 11):10, (1, 8):11]","[(7, 11):10, (1, 8):11, (8, 15):11]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9)]",10,0,10
25,"(7, 11)","(7, 12)",South,"[(6, 11) via West]","[(7, 11):10, (1, 8):11, (8, 15):11]","[(1, 8):11, (8, 15):11, (6, 11):11]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9), (7, 15)]",10,0,10
26,"(1, 8)","(1, 9)",South,"[(1, 7) via South]","[(1, 8):11, (8, 15):11, (6, 11):11]","[(8, 15):11, (6, 11):11, (1, 7):12]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9), (7, 15), (7, 11)]",11,0,11
27,"(8, 15)","(7, 15)",East,"[(9, 15) via East]","[(8, 15):11, (6, 11):11, (1, 7):12]","[(6, 11):11, (1, 7):12, (9, 15):12]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9), (7, 15), (7, 11), (1, 8)]",11,0,11
28,"(6, 11)","(7, 11)",West,"[(5, 11) via West]","[(6, 11):11, (1, 7):12, (9, 15):12]","[(1, 7):12, (9, 15):12, (5, 11):12]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9), (7, 15), (7, 11), (1, 8), (8, 15)]",11,0,11
29,"(1, 7)","(1, 8)",South,"[(1, 6) via South]","[(1, 7):12, (9, 15):12, (5, 11):12]","[(9, 15):12, (5, 11):12, (1, 6):13]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9), (7, 15), (7, 11), (1, 8), (8, 15), (6, 11)]",12,0,12
30,"(9, 15)","(8, 15)",East,"[(10, 15) via East]","[(9, 15):12, (5, 11):12, (1, 6):13]","[(5, 11):12, (1, 6):13, (10, 15):13]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9), (7, 15), (7, 11), (1, 8), (8, 15), (6, 11), (1, 7)]",12,0,12
31,"(5, 11)","(6, 11)",West,"[(5, 10) via South]","[(5, 11):12, (1, 6):13, (10, 15):13]","[(1, 6):13, (10, 15):13, (5, 10):13]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9), (7, 15), (7, 11), (1, 8), (8, 15), (6, 11), (1, 7), (9, 15)]",12,0,12
