iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"((2, 3), food=2)",,,"[((3, 3), food=2) via East, ((1, 3), food=1) via West]","[((2, 3), food=2):0]","[((3, 3), food=2):1, ((1, 3), food=1):1]",[],0,0,0
2,"((3, 3), food=2)","((2, 3), food=2)",East,"[((3, 2), food=2) via South]","[((3, 3), food=2):1, ((1, 3), food=1):1]","[((1, 3), food=1):1, ((3, 2), food=2):2]","[((2, 3), food=2)]",1,0,1
3,"((1, 3), food=1)","((2, 3), food=2)",West,"[((2, 3), food=1) via East]","[((1, 3), food=1):1, ((3, 2), food=2):2]","[((3, 2), food=2):2, ((2, 3), food=1):2]","[((2, 3), food=2), ((3, 3), food=2)]",1,0,1
4,"((3, 2), food=2)","((3, 3), food=2)",South,"[((3, 1), food=2) via South]","[((3, 2), food=2):2, ((2, 3), food=1):2]","[((2, 3), food=1):2, ((3, 1), food=2):3]","[((2, 3), food=2), ((3, 3), food=2), ((1, 3), food=1)]",2,0,2
5,"((2, 3), food=1)","((1, 3), food=1)",East,"[((3, 3), food=1) via East]","[((2, 3), food=1):2, ((3, 1), food=2):3]","[((3, 1), food=2):3, ((3, 3), food=1):3]","[((2, 3), food=2), ((3, 3), food=2), ((1, 3), food=1), ((3, 2), food=2)]",2,0,2
6,"((3, 1), food=2)","((3, 2), food=2)",South,"[((2, 1), food=2) via West]","[((3, 1), food=2):3, ((3, 3), food=1):3]","[((3, 3), food=1):3, ((2, 1), food=2):4]","[((2, 3), food=2), ((3, 3), food=2), ((1, 3), food=1), ((3, 2), food=2), ((2, 3), food=1)]",3,0,3
7,"((3, 3), food=1)","((2, 3), food=1)",East,"[((3, 2), food=1) via South]","[((3, 3), food=1):3, ((2, 1), food=2):4]","[((2, 1), food=2):4, ((3, 2), food=1):4]","[((2, 3), food=2), ((3, 3), food=2), ((1, 3), food=1), ((3, 2), food=2), ((2, 3), food=1), ((3, 1), food=2)]",3,0,3
8,"((2, 1), food=2)","((3, 1), food=2)",West,"[((1, 1), food=1) via West]","[((2, 1), food=2):4, ((3, 2), food=1):4]","[((3, 2), food=1):4, ((1, 1), food=1):5]","[((2, 3), food=2), ((3, 3), food=2), ((1, 3), food=1), ((3, 2), food=2), ((2, 3), food=1), ((3, 1), food=2), ((3, 3), food=1)]",4,0,4
9,"((3, 2), food=1)","((3, 3), food=1)",South,"[((3, 1), food=1) via South]","[((3, 2), food=1):4, ((1, 1), food=1):5]","[((1, 1), food=1):5, ((3, 1), food=1):5]","[((2, 3), food=2), ((3, 3), food=2), ((1, 3), food=1), ((3, 2), food=2), ((2, 3), food=1), ((3, 1), food=2), ((3, 3), food=1), ((2, 1), food=2)]",4,0,4
10,"((1, 1), food=1)","((2, 1), food=2)",West,"[((2, 1), food=1) via East]","[((1, 1), food=1):5, ((3, 1), food=1):5]","[((3, 1), food=1):5, ((2, 1), food=1):6]","[((2, 3), food=2), ((3, 3), food=2), ((1, 3), food=1), ((3, 2), food=2), ((2, 3), food=1), ((3, 1), food=2), ((3, 3), food=1), ((2, 1), food=2), ((3, 2), food=1)]",5,0,5
11,"((3, 1), food=1)","((3, 2), food=1)",South,"[((2, 1), food=1) via West]","[((3, 1), food=1):5, ((2, 1), food=1):6]","[((2, 1), food=1):6, ((2, 1), food=1):6]","[((2, 3), food=2), ((3, 3), food=2), ((1, 3), food=1), ((3, 2), food=2), ((2, 3), food=1), ((3, 1), food=2), ((3, 3), food=1), ((2, 1), food=2), ((3, 2), food=1), ((1, 1), food=1)]",5,0,5
12,"((2, 1), food=1)","((1, 1), food=1)",East,"[((3, 1), food=1) via East]","[((2, 1), food=1):6, ((2, 1), food=1):6]","[((2, 1), food=1):6, ((3, 1), food=1):7]","[((2, 3), food=2), ((3, 3), food=2), ((1, 3), food=1), ((3, 2), food=2), ((2, 3), food=1), ((3, 1), food=2), ((3, 3), food=1), ((2, 1), food=2), ((3, 2), food=1), ((1, 1), food=1), ((3, 1), food=1)]",6,0,6
13,"((2, 1), food=1)","((3, 1), food=1)",West,"[((1, 1), food=0) via West]","[((2, 1), food=1):6, ((3, 1), food=1):7]","[((3, 1), food=1):7, ((1, 1), food=0):7]","[((2, 3), food=2), ((3, 3), food=2), ((1, 3), food=1), ((3, 2), food=2), ((2, 3), food=1), ((3, 1), food=2), ((3, 3), food=1), ((2, 1), food=2), ((3, 2), food=1), ((1, 1), food=1), ((3, 1), food=1), ((2, 1), food=1)]",6,0,6
14,"((3, 1), food=1)","((2, 1), food=1)",East,"[((3, 2), food=1) via North]","[((3, 1), food=1):7, ((1, 1), food=0):7]","[((1, 1), food=0):7, ((3, 2), food=1):8]","[((2, 3), food=2), ((3, 3), food=2), ((1, 3), food=1), ((3, 2), food=2), ((2, 3), food=1), ((3, 1), food=2), ((3, 3), food=1), ((2, 1), food=2), ((3, 2), food=1), ((1, 1), food=1), ((3, 1), food=1), ((2, 1), food=1), ((2, 1), food=1)]",7,0,7
15,"((1, 1), food=0)","((2, 1), food=1)",West,[],"[((1, 1), food=0):7, ((3, 2), food=1):8]","[((3, 2), food=1):8]","[((2, 3), food=2), ((3, 3), food=2), ((1, 3), food=1), ((3, 2), food=2), ((2, 3), food=1), ((3, 1), food=2), ((3, 3), food=1), ((2, 1), food=2), ((3, 2), food=1), ((1, 1), food=1), ((3, 1), food=1), ((2, 1), food=1), ((2, 1), food=1), ((3, 1), food=1)]",7,0,7
