iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
30,"(31, 10)","(31, 9)",North,"[(31, 11) via North]","[(31, 10), (32, 9), (28, 3)]","[(32, 9), (28, 3), (31, 11)]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3)]",13,0,13
31,"(32, 9)","(31, 9)",East,"[(33, 9) via East]","[(32, 9), (28, 3), (31, 11)]","[(28, 3), (31, 11), (33, 9)]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3), (31, 10)]",13,0,13
32,"(28, 3)","(29, 3)",West,"[(27, 3) via West]","[(28, 3), (31, 11), (33, 9)]","[(31, 11), (33, 9), (27, 3)]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3), (31, 10), (32, 9)]",13,0,13
33,"(31, 11)","(31, 10)",North,"[(30, 11) via West]","[(31, 11), (33, 9), (27, 3)]","[(33, 9), (27, 3), (30, 11)]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3), (31, 10), (32, 9), (28, 3)]",14,0,14
34,"(33, 9)","(32, 9)",East,"[(33, 10) via North, (34, 9) via East]","[(33, 9), (27, 3), (30, 11)]","[(27, 3), (30, 11), (33, 10), (34, 9)]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3), (31, 10), (32, 9), (28, 3), (31, 11)]",14,0,14
35,"(27, 3)","(28, 3)",West,"[(27, 4) via North, (27, 2) via South, (26, 3) via West]","[(27, 3), (30, 11), (33, 10), (34, 9)]","[(30, 11), (33, 10), (34, 9), (27, 4), (27, 2), (26, 3)]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3), (31, 10), (32, 9), (28, 3), (31, 11), (33, 9)]",14,0,14
36,"(30, 11)","(31, 11)",West,"[(29, 11) via West]","[(30, 11), (33, 10), (34, 9), (27, 4), (27, 2), (26, 3)]","[(33, 10), (34, 9), (27, 4), (27, 2), (26, 3), (29, 11)]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3), (31, 10), (32, 9), (28, 3), (31, 11), (33, 9), (27, 3)]",15,0,15
37,"(33, 10)","(33, 9)",North,"[(33, 11) via North]","[(33, 10), (34, 9), (27, 4), (27, 2), (26, 3), (29, 11)]","[(34, 9), (27, 4), (27, 2), (26, 3), (29, 11), (33, 11)]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3), (31, 10), (32, 9), (28, 3), (31, 11), (33, 9), (27, 3), (30, 11)]",15,0,15
38,"(34, 9)","(33, 9)",East,"[(35, 9) via East]","[(34, 9), (27, 4), (27, 2), (26, 3), (29, 11), (33, 11)]","[(27, 4), (27, 2), (26, 3), (29, 11), (33, 11), (35, 9)]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3), (31, 10), (32, 9), (28, 3), (31, 11), (33, 9), (27, 3), (30, 11), (33, 10)]",15,0,15
39,"(27, 4)","(27, 3)",North,"[(27, 5) via North]","[(27, 4), (27, 2), (26, 3), (29, 11), (33, 11), (35, 9)]","[(27, 2), (26, 3), (29, 11), (33, 11), (35, 9), (27, 5)]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3), (31, 10), (32, 9), (28, 3), (31, 11), (33, 9), (27, 3), (30, 11), (33, 10), (34, 9)]",15,0,15
