iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
18,"(34, 12)","(33, 12)",East,"[(34, 11) via South]","[(34, 12):4.598405212163925e-09, (28, 16):7.334165275096893e-09]","[(34, 11):4.6566128730773926e-09, (28, 16):7.334165275096893e-09]","[(34, 16), (34, 15), (33, 16), (34, 14), (33, 14), (32, 16), (32, 14), (31, 16), (31, 14), (30, 16), (30, 14), (30, 13), (29, 16), (30, 12), (31, 12), (32, 12), (33, 12)]",4.598405212163925e-09,0,4.598405212163925e-09
19,"(34, 11)","(34, 12)",South,"[(34, 10) via South]","[(34, 11):4.6566128730773926e-09, (28, 16):7.334165275096893e-09]","[(34, 10):4.71482053399086e-09, (28, 16):7.334165275096893e-09]","[(34, 16), (34, 15), (33, 16), (34, 14), (33, 14), (32, 16), (32, 14), (31, 16), (31, 14), (30, 16), (30, 14), (30, 13), (29, 16), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12)]",4.6566128730773926e-09,0,4.6566128730773926e-09
20,"(34, 10)","(34, 11)",South,"[(33, 10) via West]","[(34, 10):4.71482053399086e-09, (28, 16):7.334165275096893e-09]","[(33, 10):4.831235855817795e-09, (28, 16):7.334165275096893e-09]","[(34, 16), (34, 15), (33, 16), (34, 14), (33, 14), (32, 16), (32, 14), (31, 16), (31, 14), (30, 16), (30, 14), (30, 13), (29, 16), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11)]",4.71482053399086e-09,0,4.71482053399086e-09
21,"(33, 10)","(34, 10)",West,"[(32, 10) via West]","[(33, 10):4.831235855817795e-09, (28, 16):7.334165275096893e-09]","[(32, 10):5.0640664994716644e-09, (28, 16):7.334165275096893e-09]","[(34, 16), (34, 15), (33, 16), (34, 14), (33, 14), (32, 16), (32, 14), (31, 16), (31, 14), (30, 16), (30, 14), (30, 13), (29, 16), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10)]",4.831235855817795e-09,0,4.831235855817795e-09
22,"(32, 10)","(33, 10)",West,"[(31, 10) via West]","[(32, 10):5.0640664994716644e-09, (28, 16):7.334165275096893e-09]","[(31, 10):5.529727786779404e-09, (28, 16):7.334165275096893e-09]","[(34, 16), (34, 15), (33, 16), (34, 14), (33, 14), (32, 16), (32, 14), (31, 16), (31, 14), (30, 16), (30, 14), (30, 13), (29, 16), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10)]",5.0640664994716644e-09,0,5.0640664994716644e-09
23,"(31, 10)","(32, 10)",West,"[(30, 10) via West]","[(31, 10):5.529727786779404e-09, (28, 16):7.334165275096893e-09]","[(30, 10):6.461050361394882e-09, (28, 16):7.334165275096893e-09]","[(34, 16), (34, 15), (33, 16), (34, 14), (33, 14), (32, 16), (32, 14), (31, 16), (31, 14), (30, 16), (30, 14), (30, 13), (29, 16), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10)]",5.529727786779404e-09,0,5.529727786779404e-09
24,"(30, 10)","(31, 10)",West,"[(30, 9) via South, (29, 10) via West]","[(30, 10):6.461050361394882e-09, (28, 16):7.334165275096893e-09]","[(28, 16):7.334165275096893e-09, (30, 9):7.392372936010361e-09, (29, 10):8.32369551062584e-09]","[(34, 16), (34, 15), (33, 16), (34, 14), (33, 14), (32, 16), (32, 14), (31, 16), (31, 14), (30, 16), (30, 14), (30, 13), (29, 16), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10)]",6.461050361394882e-09,0,6.461050361394882e-09
25,"(28, 16)","(29, 16)",West,"[(27, 16) via West]","[(28, 16):7.334165275096893e-09, (30, 9):7.392372936010361e-09, (29, 10):8.32369551062584e-09]","[(30, 9):7.392372936010361e-09, (29, 10):8.32369551062584e-09, (27, 16):1.4784745872020721e-08]","[(34, 16), (34, 15), (33, 16), (34, 14), (33, 14), (32, 16), (32, 14), (31, 16), (31, 14), (30, 16), (30, 14), (30, 13), (29, 16), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10)]",7.334165275096893e-09,0,7.334165275096893e-09
26,"(30, 9)","(30, 10)",South,"[(30, 8) via South]","[(30, 9):7.392372936010361e-09, (29, 10):8.32369551062584e-09, (27, 16):1.4784745872020721e-08]","[(29, 10):8.32369551062584e-09, (30, 8):8.32369551062584e-09, (27, 16):1.4784745872020721e-08]","[(34, 16), (34, 15), (33, 16), (34, 14), (33, 14), (32, 16), (32, 14), (31, 16), (31, 14), (30, 16), (30, 14), (30, 13), (29, 16), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (28, 16)]",7.392372936010361e-09,0,7.392372936010361e-09
27,"(29, 10)","(30, 10)",West,[],"[(29, 10):8.32369551062584e-09, (30, 8):8.32369551062584e-09, (27, 16):1.4784745872020721e-08]","[(30, 8):8.32369551062584e-09, (27, 16):1.4784745872020721e-08]","[(34, 16), (34, 15), (33, 16), (34, 14), (33, 14), (32, 16), (32, 14), (31, 16), (31, 14), (30, 16), (30, 14), (30, 13), (29, 16), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (28, 16), (30, 9)]",8.32369551062584e-09,0,8.32369551062584e-09
