iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
12,"((5, 4), ())","((6, 4), ())",West,"[((5, 5), ()) via North, ((4, 4), ()) via West]","[((5, 4), ()):67, ((10, 4), ()):69]","[((4, 4), ()):67, ((10, 4), ()):69, ((5, 5), ()):69]","[((5, 1), ()), ((5, 2), ()), ((6, 2), ()), ((7, 2), ()), ((8, 2), ()), ((9, 2), ()), ((9, 3), ()), ((9, 4), ()), ((8, 4), ()), ((7, 4), ()), ((6, 4), ())]",11,56,67
13,"((4, 4), ())","((5, 4), ())",West,"[((3, 4), ()) via West]","[((4, 4), ()):67, ((10, 4), ()):69, ((5, 5), ()):69]","[((3, 4), ()):67, ((10, 4), ()):69, ((5, 5), ()):69]","[((5, 1), ()), ((5, 2), ()), ((6, 2), ()), ((7, 2), ()), ((8, 2), ()), ((9, 2), ()), ((9, 3), ()), ((9, 4), ()), ((8, 4), ()), ((7, 4), ()), ((6, 4), ()), ((5, 4), ())]",12,55,67
14,"((3, 4), ())","((4, 4), ())",West,"[((3, 5), ()) via North, ((3, 3), ()) via South]","[((3, 4), ()):67, ((10, 4), ()):69, ((5, 5), ()):69]","[((3, 3), ()):67, ((10, 4), ()):69, ((5, 5), ()):69, ((3, 5), ()):69]","[((5, 1), ()), ((5, 2), ()), ((6, 2), ()), ((7, 2), ()), ((8, 2), ()), ((9, 2), ()), ((9, 3), ()), ((9, 4), ()), ((8, 4), ()), ((7, 4), ()), ((6, 4), ()), ((5, 4), ()), ((4, 4), ())]",13,54,67
15,"((3, 3), ())","((3, 4), ())",South,"[((3, 2), ()) via South]","[((3, 3), ()):67, ((10, 4), ()):69, ((5, 5), ()):69, ((3, 5), ()):69]","[((3, 2), ()):67, ((10, 4), ()):69, ((5, 5), ()):69, ((3, 5), ()):69]","[((5, 1), ()), ((5, 2), ()), ((6, 2), ()), ((7, 2), ()), ((8, 2), ()), ((9, 2), ()), ((9, 3), ()), ((9, 4), ()), ((8, 4), ()), ((7, 4), ()), ((6, 4), ()), ((5, 4), ()), ((4, 4), ()), ((3, 4), ())]",14,53,67
16,"((3, 2), ())","((3, 3), ())",South,"[((3, 1), ()) via South, ((2, 2), ()) via West]","[((3, 2), ()):67, ((10, 4), ()):69, ((5, 5), ()):69, ((3, 5), ()):69]","[((3, 1), ()):67, ((2, 2), ()):67, ((10, 4), ()):69, ((5, 5), ()):69, ((3, 5), ()):69]","[((5, 1), ()), ((5, 2), ()), ((6, 2), ()), ((7, 2), ()), ((8, 2), ()), ((9, 2), ()), ((9, 3), ()), ((9, 4), ()), ((8, 4), ()), ((7, 4), ()), ((6, 4), ()), ((5, 4), ()), ((4, 4), ()), ((3, 4), ()), ((3, 3), ())]",15,52,67
17,"((3, 1), ())","((3, 2), ())",South,"[((2, 1), ()) via West]","[((3, 1), ()):67, ((2, 2), ()):67, ((10, 4), ()):69, ((5, 5), ()):69, ((3, 5), ()):69]","[((2, 2), ()):67, ((2, 1), ()):67, ((10, 4), ()):69, ((5, 5), ()):69, ((3, 5), ()):69]","[((5, 1), ()), ((5, 2), ()), ((6, 2), ()), ((7, 2), ()), ((8, 2), ()), ((9, 2), ()), ((9, 3), ()), ((9, 4), ()), ((8, 4), ()), ((7, 4), ()), ((6, 4), ()), ((5, 4), ()), ((4, 4), ()), ((3, 4), ()), ((3, 3), ()), ((3, 2), ())]",16,51,67
18,"((2, 2), ())","((3, 2), ())",West,"[((1, 2), ()) via West]","[((2, 2), ()):67, ((2, 1), ()):67, ((10, 4), ()):69, ((5, 5), ()):69, ((3, 5), ()):69]","[((2, 1), ()):67, ((1, 2), ()):67, ((10, 4), ()):69, ((5, 5), ()):69, ((3, 5), ()):69]","[((5, 1), ()), ((5, 2), ()), ((6, 2), ()), ((7, 2), ()), ((8, 2), ()), ((9, 2), ()), ((9, 3), ()), ((9, 4), ()), ((8, 4), ()), ((7, 4), ()), ((6, 4), ()), ((5, 4), ()), ((4, 4), ()), ((3, 4), ()), ((3, 3), ()), ((3, 2), ()), ((3, 1), ())]",16,51,67
19,"((2, 1), ())","((3, 1), ())",West,"[((1, 1), ((1, 1),)) via West]","[((2, 1), ()):67, ((1, 2), ()):67, ((10, 4), ()):69, ((5, 5), ()):69, ((3, 5), ()):69]","[((1, 2), ()):67, ((1, 1), ((1, 1),)):67, ((10, 4), ()):69, ((5, 5), ()):69, ((3, 5), ()):69]","[((5, 1), ()), ((5, 2), ()), ((6, 2), ()), ((7, 2), ()), ((8, 2), ()), ((9, 2), ()), ((9, 3), ()), ((9, 4), ()), ((8, 4), ()), ((7, 4), ()), ((6, 4), ()), ((5, 4), ()), ((4, 4), ()), ((3, 4), ()), ((3, 3), ()), ((3, 2), ()), ((3, 1), ()), ((2, 2), ())]",17,50,67
20,"((1, 2), ())","((2, 2), ())",West,"[((1, 3), ()) via North]","[((1, 2), ()):67, ((1, 1), ((1, 1),)):67, ((10, 4), ()):69, ((5, 5), ()):69, ((3, 5), ()):69]","[((1, 1), ((1, 1),)):67, ((10, 4), ()):69, ((5, 5), ()):69, ((3, 5), ()):69, ((1, 3), ()):69]","[((5, 1), ()), ((5, 2), ()), ((6, 2), ()), ((7, 2), ()), ((8, 2), ()), ((9, 2), ()), ((9, 3), ()), ((9, 4), ()), ((8, 4), ()), ((7, 4), ()), ((6, 4), ()), ((5, 4), ()), ((4, 4), ()), ((3, 4), ()), ((3, 3), ()), ((3, 2), ()), ((3, 1), ()), ((2, 2), ()), ((2, 1), ())]",17,50,67
21,"((1, 1), ((1, 1),))","((2, 1), ())",West,"[((1, 2), ((1, 1),)) via North, ((2, 1), ((1, 1),)) via East]","[((1, 1), ((1, 1),)):67, ((10, 4), ()):69, ((5, 5), ()):69, ((3, 5), ()):69, ((1, 3), ()):69]","[((1, 2), ((1, 1),)):67, ((10, 4), ()):69, ((5, 5), ()):69, ((3, 5), ()):69, ((1, 3), ()):69, ((2, 1), ((1, 1),)):69]","[((5, 1), ()), ((5, 2), ()), ((6, 2), ()), ((7, 2), ()), ((8, 2), ()), ((9, 2), ()), ((9, 3), ()), ((9, 4), ()), ((8, 4), ()), ((7, 4), ()), ((6, 4), ()), ((5, 4), ()), ((4, 4), ()), ((3, 4), ()), ((3, 3), ()), ((3, 2), ()), ((3, 1), ()), ((2, 2), ()), ((2, 1), ()), ((1, 2), ())]",18,49,67
