iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,A,,,"[B1 via 0:A->B1, C via 1:A->C, B2 via 2:A->B2]",[A],"[B1, C, B2]",[],0,0,0
2,B1,A,0:A->B1,[],"[B1, C, B2]","[C, B2]",[A],1.0,0,1.0
3,C,A,1:A->C,[D via 0:C->D],"[C, B2]","[B2, D]","[A, B1]",2.0,0,2.0
4,B2,A,2:A->B2,[],"[B2, D]",[D],"[A, B1, C]",4.0,0,4.0
5,D,C,0:C->D,"[E1 via 0:D->E1, F via 1:D->F, E2 via 2:D->E2]",[D],"[E1, F, E2]","[A, B1, C, B2]",34.0,0,34.0
6,E1,D,0:D->E1,[],"[E1, F, E2]","[F, E2]","[A, B1, C, B2, D]",98.0,0,98.0
7,F,D,1:D->F,[G via 0:F->G],"[F, E2]","[E2, G]","[A, B1, C, B2, D, E1]",162.0,0,162.0
8,E2,D,2:D->E2,[],"[E2, G]",[G],"[A, B1, C, B2, D, E1, F]",290.0,0,290.0
