iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(34, 16)",,,"[(34, 15) via South, (33, 16) via West]","[(34, 16):48]","[(34, 15):48, (33, 16):48]",[],0,48,48
2,"(34, 15)","(34, 16)",South,"[(34, 14) via South]","[(34, 15):48, (33, 16):48]","[(33, 16):48, (34, 14):48]","[(34, 16)]",1,47,48
3,"(33, 16)","(34, 16)",West,"[(32, 16) via West]","[(33, 16):48, (34, 14):48]","[(34, 14):48, (32, 16):48]","[(34, 16), (34, 15)]",1,47,48
4,"(34, 14)","(34, 15)",South,"[(33, 14) via West]","[(34, 14):48, (32, 16):48]","[(32, 16):48, (33, 14):48]","[(34, 16), (34, 15), (33, 16)]",2,46,48
5,"(32, 16)","(33, 16)",West,"[(31, 16) via West]","[(32, 16):48, (33, 14):48]","[(33, 14):48, (31, 16):48]","[(34, 16), (34, 15), (33, 16), (34, 14)]",2,46,48
6,"(33, 14)","(34, 14)",West,"[(32, 14) via West]","[(33, 14):48, (31, 16):48]","[(31, 16):48, (32, 14):48]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16)]",3,45,48
7,"(31, 16)","(32, 16)",West,"[(30, 16) via West]","[(31, 16):48, (32, 14):48]","[(32, 14):48, (30, 16):48]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14)]",3,45,48
8,"(32, 14)","(33, 14)",West,"[(31, 14) via West]","[(32, 14):48, (30, 16):48]","[(30, 16):48, (31, 14):48]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16)]",4,44,48
9,"(30, 16)","(31, 16)",West,"[(29, 16) via West]","[(30, 16):48, (31, 14):48]","[(31, 14):48, (29, 16):48]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14)]",4,44,48
10,"(31, 14)","(32, 14)",West,"[(30, 14) via West]","[(31, 14):48, (29, 16):48]","[(29, 16):48, (30, 14):48]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16)]",5,43,48
11,"(29, 16)","(30, 16)",West,"[(28, 16) via West]","[(29, 16):48, (30, 14):48]","[(30, 14):48, (28, 16):48]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14)]",5,43,48
12,"(30, 14)","(31, 14)",West,"[(30, 13) via South]","[(30, 14):48, (28, 16):48]","[(28, 16):48, (30, 13):48]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16)]",6,42,48
13,"(28, 16)","(29, 16)",West,"[(27, 16) via West]","[(28, 16):48, (30, 13):48]","[(30, 13):48, (27, 16):48]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14)]",6,42,48
14,"(30, 13)","(30, 14)",South,"[(30, 12) via South]","[(30, 13):48, (27, 16):48]","[(27, 16):48, (30, 12):48]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16)]",7,41,48
15,"(27, 16)","(28, 16)",West,"[(26, 16) via West]","[(27, 16):48, (30, 12):48]","[(30, 12):48, (26, 16):48]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13)]",7,41,48
16,"(30, 12)","(30, 13)",South,"[(31, 12) via East]","[(30, 12):48, (26, 16):48]","[(26, 16):48, (31, 12):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16)]",8,40,48
17,"(26, 16)","(27, 16)",West,"[(25, 16) via West]","[(26, 16):48, (31, 12):50]","[(25, 16):48, (31, 12):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12)]",8,40,48
18,"(25, 16)","(26, 16)",West,"[(25, 15) via South, (24, 16) via West]","[(25, 16):48, (31, 12):50]","[(25, 15):48, (24, 16):48, (31, 12):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16)]",9,39,48
19,"(25, 15)","(25, 16)",South,"[(25, 14) via South]","[(25, 15):48, (24, 16):48, (31, 12):50]","[(24, 16):48, (25, 14):48, (31, 12):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16)]",10,38,48
20,"(24, 16)","(25, 16)",West,"[(23, 16) via West]","[(24, 16):48, (25, 14):48, (31, 12):50]","[(25, 14):48, (23, 16):48, (31, 12):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16), (25, 15)]",10,38,48
21,"(25, 14)","(25, 15)",South,"[(26, 14) via East]","[(25, 14):48, (23, 16):48, (31, 12):50]","[(23, 16):48, (31, 12):50, (26, 14):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16), (25, 15), (24, 16)]",11,37,48
22,"(23, 16)","(24, 16)",West,"[(22, 16) via West]","[(23, 16):48, (31, 12):50, (26, 14):50]","[(22, 16):48, (31, 12):50, (26, 14):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16), (25, 15), (24, 16), (25, 14)]",11,37,48
23,"(22, 16)","(23, 16)",West,"[(21, 16) via West]","[(22, 16):48, (31, 12):50, (26, 14):50]","[(21, 16):48, (31, 12):50, (26, 14):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16), (25, 15), (24, 16), (25, 14), (23, 16)]",12,36,48
24,"(21, 16)","(22, 16)",West,"[(20, 16) via West]","[(21, 16):48, (31, 12):50, (26, 14):50]","[(20, 16):48, (31, 12):50, (26, 14):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16), (25, 15), (24, 16), (25, 14), (23, 16), (22, 16)]",13,35,48
25,"(20, 16)","(21, 16)",West,"[(19, 16) via West]","[(20, 16):48, (31, 12):50, (26, 14):50]","[(19, 16):48, (31, 12):50, (26, 14):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16), (25, 15), (24, 16), (25, 14), (23, 16), (22, 16), (21, 16)]",14,34,48
26,"(19, 16)","(20, 16)",West,"[(18, 16) via West]","[(19, 16):48, (31, 12):50, (26, 14):50]","[(18, 16):48, (31, 12):50, (26, 14):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16), (25, 15), (24, 16), (25, 14), (23, 16), (22, 16), (21, 16), (20, 16)]",15,33,48
27,"(18, 16)","(19, 16)",West,"[(17, 16) via West]","[(18, 16):48, (31, 12):50, (26, 14):50]","[(17, 16):48, (31, 12):50, (26, 14):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16), (25, 15), (24, 16), (25, 14), (23, 16), (22, 16), (21, 16), (20, 16), (19, 16)]",16,32,48
28,"(17, 16)","(18, 16)",West,"[(16, 16) via West]","[(17, 16):48, (31, 12):50, (26, 14):50]","[(16, 16):48, (31, 12):50, (26, 14):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16), (25, 15), (24, 16), (25, 14), (23, 16), (22, 16), (21, 16), (20, 16), (19, 16), (18, 16)]",17,31,48
29,"(16, 16)","(17, 16)",West,"[(15, 16) via West]","[(16, 16):48, (31, 12):50, (26, 14):50]","[(15, 16):48, (31, 12):50, (26, 14):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16), (25, 15), (24, 16), (25, 14), (23, 16), (22, 16), (21, 16), (20, 16), (19, 16), (18, 16), (17, 16)]",18,30,48
30,"(15, 16)","(16, 16)",West,"[(14, 16) via West]","[(15, 16):48, (31, 12):50, (26, 14):50]","[(14, 16):48, (31, 12):50, (26, 14):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16), (25, 15), (24, 16), (25, 14), (23, 16), (22, 16), (21, 16), (20, 16), (19, 16), (18, 16), (17, 16), (16, 16)]",19,29,48
31,"(14, 16)","(15, 16)",West,"[(13, 16) via West]","[(14, 16):48, (31, 12):50, (26, 14):50]","[(13, 16):48, (31, 12):50, (26, 14):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16), (25, 15), (24, 16), (25, 14), (23, 16), (22, 16), (21, 16), (20, 16), (19, 16), (18, 16), (17, 16), (16, 16), (15, 16)]",20,28,48
32,"(13, 16)","(14, 16)",West,"[(12, 16) via West]","[(13, 16):48, (31, 12):50, (26, 14):50]","[(12, 16):48, (31, 12):50, (26, 14):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16), (25, 15), (24, 16), (25, 14), (23, 16), (22, 16), (21, 16), (20, 16), (19, 16), (18, 16), (17, 16), (16, 16), (15, 16), (14, 16)]",21,27,48
33,"(12, 16)","(13, 16)",West,"[(11, 16) via West]","[(12, 16):48, (31, 12):50, (26, 14):50]","[(11, 16):48, (31, 12):50, (26, 14):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16), (25, 15), (24, 16), (25, 14), (23, 16), (22, 16), (21, 16), (20, 16), (19, 16), (18, 16), (17, 16), (16, 16), (15, 16), (14, 16), (13, 16)]",22,26,48
34,"(11, 16)","(12, 16)",West,"[(10, 16) via West]","[(11, 16):48, (31, 12):50, (26, 14):50]","[(10, 16):48, (31, 12):50, (26, 14):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16), (25, 15), (24, 16), (25, 14), (23, 16), (22, 16), (21, 16), (20, 16), (19, 16), (18, 16), (17, 16), (16, 16), (15, 16), (14, 16), (13, 16), (12, 16)]",23,25,48
35,"(10, 16)","(11, 16)",West,"[(9, 16) via West]","[(10, 16):48, (31, 12):50, (26, 14):50]","[(9, 16):48, (31, 12):50, (26, 14):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16), (25, 15), (24, 16), (25, 14), (23, 16), (22, 16), (21, 16), (20, 16), (19, 16), (18, 16), (17, 16), (16, 16), (15, 16), (14, 16), (13, 16), (12, 16), (11, 16)]",24,24,48
36,"(9, 16)","(10, 16)",West,"[(8, 16) via West]","[(9, 16):48, (31, 12):50, (26, 14):50]","[(8, 16):48, (31, 12):50, (26, 14):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16), (25, 15), (24, 16), (25, 14), (23, 16), (22, 16), (21, 16), (20, 16), (19, 16), (18, 16), (17, 16), (16, 16), (15, 16), (14, 16), (13, 16), (12, 16), (11, 16), (10, 16)]",25,23,48
37,"(8, 16)","(9, 16)",West,"[(7, 16) via West]","[(8, 16):48, (31, 12):50, (26, 14):50]","[(7, 16):48, (31, 12):50, (26, 14):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16), (25, 15), (24, 16), (25, 14), (23, 16), (22, 16), (21, 16), (20, 16), (19, 16), (18, 16), (17, 16), (16, 16), (15, 16), (14, 16), (13, 16), (12, 16), (11, 16), (10, 16), (9, 16)]",26,22,48
38,"(7, 16)","(8, 16)",West,"[(6, 16) via West]","[(7, 16):48, (31, 12):50, (26, 14):50]","[(6, 16):48, (31, 12):50, (26, 14):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16), (25, 15), (24, 16), (25, 14), (23, 16), (22, 16), (21, 16), (20, 16), (19, 16), (18, 16), (17, 16), (16, 16), (15, 16), (14, 16), (13, 16), (12, 16), (11, 16), (10, 16), (9, 16), (8, 16)]",27,21,48
39,"(6, 16)","(7, 16)",West,"[(5, 16) via West]","[(6, 16):48, (31, 12):50, (26, 14):50]","[(5, 16):48, (31, 12):50, (26, 14):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16), (25, 15), (24, 16), (25, 14), (23, 16), (22, 16), (21, 16), (20, 16), (19, 16), (18, 16), (17, 16), (16, 16), (15, 16), (14, 16), (13, 16), (12, 16), (11, 16), (10, 16), (9, 16), (8, 16), (7, 16)]",28,20,48
40,"(5, 16)","(6, 16)",West,"[(4, 16) via West]","[(5, 16):48, (31, 12):50, (26, 14):50]","[(4, 16):48, (31, 12):50, (26, 14):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16), (25, 15), (24, 16), (25, 14), (23, 16), (22, 16), (21, 16), (20, 16), (19, 16), (18, 16), (17, 16), (16, 16), (15, 16), (14, 16), (13, 16), (12, 16), (11, 16), (10, 16), (9, 16), (8, 16), (7, 16), (6, 16)]",29,19,48
41,"(4, 16)","(5, 16)",West,"[(3, 16) via West]","[(4, 16):48, (31, 12):50, (26, 14):50]","[(3, 16):48, (31, 12):50, (26, 14):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16), (25, 15), (24, 16), (25, 14), (23, 16), (22, 16), (21, 16), (20, 16), (19, 16), (18, 16), (17, 16), (16, 16), (15, 16), (14, 16), (13, 16), (12, 16), (11, 16), (10, 16), (9, 16), (8, 16), (7, 16), (6, 16), (5, 16)]",30,18,48
42,"(3, 16)","(4, 16)",West,"[(2, 16) via West]","[(3, 16):48, (31, 12):50, (26, 14):50]","[(2, 16):48, (31, 12):50, (26, 14):50]","[(34, 16), (34, 15), (33, 16), (34, 14), (32, 16), (33, 14), (31, 16), (32, 14), (30, 16), (31, 14), (29, 16), (30, 14), (28, 16), (30, 13), (27, 16), (30, 12), (26, 16), (25, 16), (25, 15), (24, 16), (25, 14), (23, 16), (22, 16), (21, 16), (20, 16), (19, 16), (18, 16), (17, 16), (16, 16), (15, 16), (14, 16), (13, 16), (12, 16), (11, 16), (10, 16), (9, 16), (8, 16), (7, 16), (6, 16), (5, 16), (4, 16)]",31,17,48
