iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
21,"(11, 5)","(11, 6)",South,"[(11, 4) via South]","[(11, 5):27, (23, 7):29, (16, 7):29]","[(11, 4):27, (23, 7):29, (16, 7):29]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6), (19, 4), (17, 6), (19, 3), (18, 4), (16, 6), (17, 4), (15, 6), (16, 4), (14, 6), (15, 4), (13, 6), (12, 6), (11, 6)]",13,14,27
22,"(11, 4)","(11, 5)",South,"[(11, 3) via South]","[(11, 4):27, (23, 7):29, (16, 7):29]","[(11, 3):27, (23, 7):29, (16, 7):29]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6), (19, 4), (17, 6), (19, 3), (18, 4), (16, 6), (17, 4), (15, 6), (16, 4), (14, 6), (15, 4), (13, 6), (12, 6), (11, 6), (11, 5)]",14,13,27
23,"(11, 3)","(11, 4)",South,"[(11, 2) via South]","[(11, 3):27, (23, 7):29, (16, 7):29]","[(11, 2):27, (23, 7):29, (16, 7):29]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6), (19, 4), (17, 6), (19, 3), (18, 4), (16, 6), (17, 4), (15, 6), (16, 4), (14, 6), (15, 4), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4)]",15,12,27
24,"(11, 2)","(11, 3)",South,"[(10, 2) via West]","[(11, 2):27, (23, 7):29, (16, 7):29]","[(10, 2):27, (23, 7):29, (16, 7):29]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6), (19, 4), (17, 6), (19, 3), (18, 4), (16, 6), (17, 4), (15, 6), (16, 4), (14, 6), (15, 4), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3)]",16,11,27
25,"(10, 2)","(11, 2)",West,"[(9, 2) via West]","[(10, 2):27, (23, 7):29, (16, 7):29]","[(9, 2):27, (23, 7):29, (16, 7):29]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6), (19, 4), (17, 6), (19, 3), (18, 4), (16, 6), (17, 4), (15, 6), (16, 4), (14, 6), (15, 4), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2)]",17,10,27
26,"(9, 2)","(10, 2)",West,"[(9, 3) via North]","[(9, 2):27, (23, 7):29, (16, 7):29]","[(23, 7):29, (16, 7):29, (9, 3):29]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6), (19, 4), (17, 6), (19, 3), (18, 4), (16, 6), (17, 4), (15, 6), (16, 4), (14, 6), (15, 4), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2)]",18,9,27
27,"(23, 7)","(23, 6)",North,"[(23, 8) via North]","[(23, 7):29, (16, 7):29, (9, 3):29]","[(16, 7):29, (9, 3):29, (23, 8):31]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6), (19, 4), (17, 6), (19, 3), (18, 4), (16, 6), (17, 4), (15, 6), (16, 4), (14, 6), (15, 4), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2)]",1,28,29
28,"(16, 7)","(16, 6)",North,"[(16, 8) via North]","[(16, 7):29, (9, 3):29, (23, 8):31]","[(9, 3):29, (23, 8):31, (16, 8):31]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6), (19, 4), (17, 6), (19, 3), (18, 4), (16, 6), (17, 4), (15, 6), (16, 4), (14, 6), (15, 4), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (23, 7)]",8,21,29
29,"(9, 3)","(9, 2)",North,"[(9, 4) via North]","[(9, 3):29, (23, 8):31, (16, 8):31]","[(23, 8):31, (16, 8):31, (9, 4):31]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6), (19, 4), (17, 6), (19, 3), (18, 4), (16, 6), (17, 4), (15, 6), (16, 4), (14, 6), (15, 4), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (23, 7), (16, 7)]",19,10,29
30,"(23, 8)","(23, 7)",North,"[(23, 9) via North]","[(23, 8):31, (16, 8):31, (9, 4):31]","[(16, 8):31, (9, 4):31, (23, 9):33]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6), (19, 4), (17, 6), (19, 3), (18, 4), (16, 6), (17, 4), (15, 6), (16, 4), (14, 6), (15, 4), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (23, 7), (16, 7), (9, 3)]",2,29,31
31,"(16, 8)","(16, 7)",North,"[(16, 9) via North]","[(16, 8):31, (9, 4):31, (23, 9):33]","[(9, 4):31, (23, 9):33, (16, 9):33]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6), (19, 4), (17, 6), (19, 3), (18, 4), (16, 6), (17, 4), (15, 6), (16, 4), (14, 6), (15, 4), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (23, 7), (16, 7), (9, 3), (23, 8)]",9,22,31
32,"(9, 4)","(9, 3)",North,"[(9, 5) via North]","[(9, 4):31, (23, 9):33, (16, 9):33]","[(23, 9):33, (16, 9):33, (9, 5):33]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6), (19, 4), (17, 6), (19, 3), (18, 4), (16, 6), (17, 4), (15, 6), (16, 4), (14, 6), (15, 4), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (23, 7), (16, 7), (9, 3), (23, 8), (16, 8)]",20,11,31
33,"(23, 9)","(23, 8)",North,"[(23, 10) via North]","[(23, 9):33, (16, 9):33, (9, 5):33]","[(16, 9):33, (9, 5):33, (23, 10):35]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6), (19, 4), (17, 6), (19, 3), (18, 4), (16, 6), (17, 4), (15, 6), (16, 4), (14, 6), (15, 4), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (23, 7), (16, 7), (9, 3), (23, 8), (16, 8), (9, 4)]",3,30,33
34,"(16, 9)","(16, 8)",North,[],"[(16, 9):33, (9, 5):33, (23, 10):35]","[(9, 5):33, (23, 10):35]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6), (19, 4), (17, 6), (19, 3), (18, 4), (16, 6), (17, 4), (15, 6), (16, 4), (14, 6), (15, 4), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (23, 7), (16, 7), (9, 3), (23, 8), (16, 8), (9, 4), (23, 9)]",10,23,33
35,"(9, 5)","(9, 4)",North,"[(9, 6) via North]","[(9, 5):33, (23, 10):35]","[(23, 10):35, (9, 6):35]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6), (19, 4), (17, 6), (19, 3), (18, 4), (16, 6), (17, 4), (15, 6), (16, 4), (14, 6), (15, 4), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (23, 7), (16, 7), (9, 3), (23, 8), (16, 8), (9, 4), (23, 9), (16, 9)]",21,12,33
36,"(23, 10)","(23, 9)",North,"[(23, 11) via North]","[(23, 10):35, (9, 6):35]","[(9, 6):35, (23, 11):37]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6), (19, 4), (17, 6), (19, 3), (18, 4), (16, 6), (17, 4), (15, 6), (16, 4), (14, 6), (15, 4), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (23, 7), (16, 7), (9, 3), (23, 8), (16, 8), (9, 4), (23, 9), (16, 9), (9, 5)]",4,31,35
