iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
22,"(16, 7)","(16, 6)",North,"[(16, 8) via North]","[(16, 7):8, (15, 6):8, (19, 11):9, (16, 4):9]","[(15, 6):8, (19, 11):9, (16, 4):9, (16, 8):9]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6), (22, 11), (19, 4), (17, 6), (21, 11), (19, 3), (18, 4), (16, 6), (20, 11), (17, 4)]",8,0,8
23,"(15, 6)","(16, 6)",West,"[(14, 6) via West]","[(15, 6):8, (19, 11):9, (16, 4):9, (16, 8):9]","[(19, 11):9, (16, 4):9, (16, 8):9, (14, 6):9]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6), (22, 11), (19, 4), (17, 6), (21, 11), (19, 3), (18, 4), (16, 6), (20, 11), (17, 4), (16, 7)]",8,0,8
24,"(19, 11)","(20, 11)",West,"[(18, 11) via West]","[(19, 11):9, (16, 4):9, (16, 8):9, (14, 6):9]","[(16, 4):9, (16, 8):9, (14, 6):9, (18, 11):10]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6), (22, 11), (19, 4), (17, 6), (21, 11), (19, 3), (18, 4), (16, 6), (20, 11), (17, 4), (16, 7), (15, 6)]",9,0,9
25,"(16, 4)","(17, 4)",West,"[(15, 4) via West]","[(16, 4):9, (16, 8):9, (14, 6):9, (18, 11):10]","[(16, 8):9, (14, 6):9, (18, 11):10, (15, 4):10]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6), (22, 11), (19, 4), (17, 6), (21, 11), (19, 3), (18, 4), (16, 6), (20, 11), (17, 4), (16, 7), (15, 6), (19, 11)]",9,0,9
26,"(16, 8)","(16, 7)",North,"[(16, 9) via North]","[(16, 8):9, (14, 6):9, (18, 11):10, (15, 4):10]","[(14, 6):9, (18, 11):10, (15, 4):10, (16, 9):10]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6), (22, 11), (19, 4), (17, 6), (21, 11), (19, 3), (18, 4), (16, 6), (20, 11), (17, 4), (16, 7), (15, 6), (19, 11), (16, 4)]",9,0,9
27,"(14, 6)","(15, 6)",West,"[(13, 6) via West]","[(14, 6):9, (18, 11):10, (15, 4):10, (16, 9):10]","[(18, 11):10, (15, 4):10, (16, 9):10, (13, 6):10]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6), (22, 11), (19, 4), (17, 6), (21, 11), (19, 3), (18, 4), (16, 6), (20, 11), (17, 4), (16, 7), (15, 6), (19, 11), (16, 4), (16, 8)]",9,0,9
28,"(18, 11)","(19, 11)",West,"[(17, 11) via West]","[(18, 11):10, (15, 4):10, (16, 9):10, (13, 6):10]","[(15, 4):10, (16, 9):10, (13, 6):10, (17, 11):11]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6), (22, 11), (19, 4), (17, 6), (21, 11), (19, 3), (18, 4), (16, 6), (20, 11), (17, 4), (16, 7), (15, 6), (19, 11), (16, 4), (16, 8), (14, 6)]",10,0,10
29,"(15, 4)","(16, 4)",West,[],"[(15, 4):10, (16, 9):10, (13, 6):10, (17, 11):11]","[(16, 9):10, (13, 6):10, (17, 11):11]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6), (22, 11), (19, 4), (17, 6), (21, 11), (19, 3), (18, 4), (16, 6), (20, 11), (17, 4), (16, 7), (15, 6), (19, 11), (16, 4), (16, 8), (14, 6), (18, 11)]",10,0,10
30,"(16, 9)","(16, 8)",North,[],"[(16, 9):10, (13, 6):10, (17, 11):11]","[(13, 6):10, (17, 11):11]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6), (22, 11), (19, 4), (17, 6), (21, 11), (19, 3), (18, 4), (16, 6), (20, 11), (17, 4), (16, 7), (15, 6), (19, 11), (16, 4), (16, 8), (14, 6), (18, 11), (15, 4)]",10,0,10
31,"(13, 6)","(14, 6)",West,"[(12, 6) via West]","[(13, 6):10, (17, 11):11]","[(17, 11):11, (12, 6):11]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6), (22, 11), (19, 4), (17, 6), (21, 11), (19, 3), (18, 4), (16, 6), (20, 11), (17, 4), (16, 7), (15, 6), (19, 11), (16, 4), (16, 8), (14, 6), (18, 11), (15, 4), (16, 9)]",10,0,10
