iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(35, 1)",,,"[(35, 2) via North, (34, 1) via West]","[(35, 1)]","[(34, 1), (35, 2)]",[],0,0,0
2,"(34, 1)","(35, 1)",West,"[(33, 1) via West]","[(34, 1), (35, 2)]","[(33, 1), (35, 2)]","[(35, 1)]",1,0,1
3,"(33, 1)","(34, 1)",West,[],"[(33, 1), (35, 2)]","[(35, 2)]","[(35, 1), (34, 1)]",2,0,2
4,"(35, 2)","(35, 1)",North,"[(35, 3) via North]","[(35, 2)]","[(35, 3)]","[(35, 1), (34, 1), (33, 1)]",1,0,1
5,"(35, 3)","(35, 2)",North,"[(35, 4) via North, (34, 3) via West]","[(35, 3)]","[(34, 3), (35, 4)]","[(35, 1), (34, 1), (33, 1), (35, 2)]",2,0,2
6,"(34, 3)","(35, 3)",West,"[(33, 3) via West]","[(34, 3), (35, 4)]","[(33, 3), (35, 4)]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3)]",3,0,3
7,"(33, 3)","(34, 3)",West,"[(33, 4) via North, (32, 3) via West]","[(33, 3), (35, 4)]","[(32, 3), (33, 4), (35, 4)]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3)]",4,0,4
8,"(32, 3)","(33, 3)",West,"[(31, 3) via West]","[(32, 3), (33, 4), (35, 4)]","[(31, 3), (33, 4), (35, 4)]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3)]",5,0,5
9,"(31, 3)","(32, 3)",West,"[(31, 4) via North, (31, 2) via South]","[(31, 3), (33, 4), (35, 4)]","[(31, 2), (31, 4), (33, 4), (35, 4)]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3)]",6,0,6
10,"(31, 2)","(31, 3)",South,"[(31, 1) via South]","[(31, 2), (31, 4), (33, 4), (35, 4)]","[(31, 1), (31, 4), (33, 4), (35, 4)]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3)]",7,0,7
11,"(31, 1)","(31, 2)",South,[],"[(31, 1), (31, 4), (33, 4), (35, 4)]","[(31, 4), (33, 4), (35, 4)]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2)]",8,0,8
12,"(31, 4)","(31, 3)",North,"[(31, 5) via North]","[(31, 4), (33, 4), (35, 4)]","[(31, 5), (33, 4), (35, 4)]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1)]",7,0,7
