iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
17,"(33, 7)","(33, 6)",North,"[(34, 7) via East]","[(33, 7):8, (31, 5):8, (31, 1):8]","[(31, 5):8, (31, 1):8, (34, 7):9]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2)]",8,0,8
18,"(31, 5)","(31, 4)",North,"[(31, 6) via North, (30, 5) via West]","[(31, 5):8, (31, 1):8, (34, 7):9]","[(31, 1):8, (34, 7):9, (31, 6):9, (30, 5):9]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7)]",8,0,8
19,"(31, 1)","(31, 2)",South,[],"[(31, 1):8, (34, 7):9, (31, 6):9, (30, 5):9]","[(34, 7):9, (31, 6):9, (30, 5):9]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5)]",8,0,8
20,"(34, 7)","(33, 7)",East,"[(35, 7) via East]","[(34, 7):9, (31, 6):9, (30, 5):9]","[(31, 6):9, (30, 5):9, (35, 7):10]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1)]",9,0,9
21,"(31, 6)","(31, 5)",North,"[(31, 7) via North]","[(31, 6):9, (30, 5):9, (35, 7):10]","[(30, 5):9, (35, 7):10, (31, 7):10]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7)]",9,0,9
22,"(30, 5)","(31, 5)",West,"[(29, 5) via West]","[(30, 5):9, (35, 7):10, (31, 7):10]","[(35, 7):10, (31, 7):10, (29, 5):10]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6)]",9,0,9
23,"(35, 7)","(34, 7)",East,[],"[(35, 7):10, (31, 7):10, (29, 5):10]","[(31, 7):10, (29, 5):10]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5)]",10,0,10
24,"(31, 7)","(31, 6)",North,"[(31, 8) via North]","[(31, 7):10, (29, 5):10]","[(29, 5):10, (31, 8):11]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7)]",10,0,10
25,"(29, 5)","(30, 5)",West,"[(29, 4) via South]","[(29, 5):10, (31, 8):11]","[(31, 8):11, (29, 4):11]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7)]",10,0,10
26,"(31, 8)","(31, 7)",North,"[(31, 9) via North]","[(31, 8):11, (29, 4):11]","[(29, 4):11, (31, 9):12]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5)]",11,0,11
27,"(29, 4)","(29, 5)",South,"[(29, 3) via South]","[(29, 4):11, (31, 9):12]","[(31, 9):12, (29, 3):12]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8)]",11,0,11
28,"(31, 9)","(31, 8)",North,"[(31, 10) via North, (32, 9) via East]","[(31, 9):12, (29, 3):12]","[(29, 3):12, (31, 10):13, (32, 9):13]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4)]",12,0,12
29,"(29, 3)","(29, 4)",South,"[(28, 3) via West]","[(29, 3):12, (31, 10):13, (32, 9):13]","[(31, 10):13, (32, 9):13, (28, 3):13]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9)]",12,0,12
30,"(31, 10)","(31, 9)",North,"[(31, 11) via North]","[(31, 10):13, (32, 9):13, (28, 3):13]","[(32, 9):13, (28, 3):13, (31, 11):14]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3)]",13,0,13
31,"(32, 9)","(31, 9)",East,"[(33, 9) via East]","[(32, 9):13, (28, 3):13, (31, 11):14]","[(28, 3):13, (31, 11):14, (33, 9):14]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3), (31, 10)]",13,0,13
32,"(28, 3)","(29, 3)",West,"[(27, 3) via West]","[(28, 3):13, (31, 11):14, (33, 9):14]","[(31, 11):14, (33, 9):14, (27, 3):14]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3), (31, 10), (32, 9)]",13,0,13
33,"(31, 11)","(31, 10)",North,"[(30, 11) via West]","[(31, 11):14, (33, 9):14, (27, 3):14]","[(33, 9):14, (27, 3):14, (30, 11):15]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3), (31, 10), (32, 9), (28, 3)]",14,0,14
