iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(15, 1)",,,"[(16, 1) via East, (14, 1) via West]","[(15, 1)]","[(16, 1), (14, 1)]",[],0,0,0
2,"(16, 1)",,,"[(17, 1) via East, (15, 1) via West]","[(16, 1)]","[(17, 1), (15, 1)]",[],0,0,0
3,"(17, 1)",,,"[(18, 1) via East, (16, 1) via West]","[(17, 1)]","[(18, 1), (16, 1)]",[],0,0,0
4,"(18, 1)",,,"[(19, 1) via East, (17, 1) via West]","[(18, 1)]","[(19, 1), (17, 1)]",[],0,0,0
5,"(19, 1)",,,"[(19, 2) via North, (18, 1) via West]","[(19, 1)]","[(19, 2), (18, 1)]",[],0,0,0
6,"(19, 2)",,,"[(19, 3) via North, (19, 1) via South]","[(19, 2)]","[(19, 3), (19, 1)]",[],0,0,0
7,"(19, 3)",,,"[(19, 2) via South, (20, 3) via East, (18, 3) via West]","[(19, 3)]","[(19, 2), (20, 3), (18, 3)]",[],0,0,0
8,"(19, 2)","(19, 3)",South,"[(19, 1) via South]","[(19, 2), (20, 3), (18, 3)]","[(20, 3), (18, 3), (19, 1)]","[(19, 3)]",1,0,1
9,"(20, 3)",,,"[(21, 3) via East, (19, 3) via West]","[(20, 3)]","[(21, 3), (19, 3)]",[],0,0,0
10,"(21, 3)",,,"[(21, 4) via North, (20, 3) via West]","[(21, 3)]","[(21, 4), (20, 3)]",[],0,0,0
11,"(21, 4)",,,"[(21, 5) via North, (21, 3) via South]","[(21, 4)]","[(21, 5), (21, 3)]",[],0,0,0
12,"(21, 5)",,,"[(21, 6) via North, (21, 4) via South]","[(21, 5)]","[(21, 6), (21, 4)]",[],0,0,0
13,"(21, 6)",,,"[(21, 7) via North, (21, 5) via South]","[(21, 6)]","[(21, 7), (21, 5)]",[],0,0,0
14,"(21, 7)",,,"[(21, 8) via North, (21, 6) via South, (22, 7) via East, (20, 7) via West]","[(21, 7)]","[(21, 8), (21, 6), (22, 7), (20, 7)]",[],0,0,0
15,"(21, 8)",,,"[(21, 9) via North, (21, 7) via South]","[(21, 8)]","[(21, 9), (21, 7)]",[],0,0,0
16,"(21, 9)",,,"[(21, 10) via North, (21, 8) via South]","[(21, 9)]","[(21, 10), (21, 8)]",[],0,0,0
