iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"((9, 3), food=13)",,,"[((10, 3), food=13) via East, ((8, 3), food=13) via West]","[((9, 3), food=13):52]","[((10, 3), food=13):52, ((8, 3), food=13):53]",[],0,52,52
2,"((10, 3), food=13)","((9, 3), food=13)",East,"[((10, 4), food=12) via North, ((11, 3), food=13) via East]","[((10, 3), food=13):52, ((8, 3), food=13):53]","[((8, 3), food=13):53, ((10, 4), food=12):54, ((11, 3), food=13):54]","[((9, 3), food=13)]",1,51,52
3,"((8, 3), food=13)","((9, 3), food=13)",West,"[((7, 3), food=13) via West]","[((8, 3), food=13):53, ((10, 4), food=12):54, ((11, 3), food=13):54]","[((7, 3), food=13):53, ((10, 4), food=12):54, ((11, 3), food=13):54]","[((9, 3), food=13), ((10, 3), food=13)]",1,52,53
4,"((7, 3), food=13)","((8, 3), food=13)",West,"[((7, 4), food=12) via North, ((6, 3), food=13) via West]","[((7, 3), food=13):53, ((10, 4), food=12):54, ((11, 3), food=13):54]","[((10, 4), food=12):54, ((11, 3), food=13):54, ((6, 3), food=13):55, ((7, 4), food=12):56]","[((9, 3), food=13), ((10, 3), food=13), ((8, 3), food=13)]",2,51,53
5,"((10, 4), food=12)","((10, 3), food=13)",North,"[((10, 5), food=12) via North, ((10, 3), food=12) via South]","[((10, 4), food=12):54, ((11, 3), food=13):54, ((6, 3), food=13):55, ((7, 4), food=12):56]","[((11, 3), food=13):54, ((10, 5), food=12):54, ((6, 3), food=13):55, ((10, 3), food=12):55, ((7, 4), food=12):56]","[((9, 3), food=13), ((10, 3), food=13), ((8, 3), food=13), ((7, 3), food=13)]",2,52,54
6,"((11, 3), food=13)","((10, 3), food=13)",East,"[((12, 3), food=13) via East]","[((11, 3), food=13):54, ((10, 5), food=12):54, ((6, 3), food=13):55, ((10, 3), food=12):55, ((7, 4), food=12):56]","[((10, 5), food=12):54, ((6, 3), food=13):55, ((10, 3), food=12):55, ((12, 3), food=13):55, ((7, 4), food=12):56]","[((9, 3), food=13), ((10, 3), food=13), ((8, 3), food=13), ((7, 3), food=13), ((10, 4), food=12)]",2,52,54
7,"((10, 5), food=12)","((10, 4), food=12)",North,"[((11, 5), food=12) via East, ((9, 5), food=12) via West]","[((10, 5), food=12):54, ((6, 3), food=13):55, ((10, 3), food=12):55, ((12, 3), food=13):55, ((7, 4), food=12):56]","[((11, 5), food=12):54, ((6, 3), food=13):55, ((10, 3), food=12):55, ((12, 3), food=13):55, ((9, 5), food=12):55, ((7, 4), food=12):56]","[((9, 3), food=13), ((10, 3), food=13), ((8, 3), food=13), ((7, 3), food=13), ((10, 4), food=12), ((11, 3), food=13)]",3,51,54
8,"((11, 5), food=12)","((10, 5), food=12)",East,"[((12, 5), food=12) via East]","[((11, 5), food=12):54, ((6, 3), food=13):55, ((10, 3), food=12):55, ((12, 3), food=13):55, ((9, 5), food=12):55, ((7, 4), food=12):56]","[((12, 5), food=12):54, ((6, 3), food=13):55, ((10, 3), food=12):55, ((12, 3), food=13):55, ((9, 5), food=12):55, ((7, 4), food=12):56]","[((9, 3), food=13), ((10, 3), food=13), ((8, 3), food=13), ((7, 3), food=13), ((10, 4), food=12), ((11, 3), food=13), ((10, 5), food=12)]",4,50,54
9,"((12, 5), food=12)","((11, 5), food=12)",East,"[((13, 5), food=11) via East]","[((12, 5), food=12):54, ((6, 3), food=13):55, ((10, 3), food=12):55, ((12, 3), food=13):55, ((9, 5), food=12):55, ((7, 4), food=12):56]","[((6, 3), food=13):55, ((10, 3), food=12):55, ((12, 3), food=13):55, ((9, 5), food=12):55, ((7, 4), food=12):56, ((13, 5), food=11):56]","[((9, 3), food=13), ((10, 3), food=13), ((8, 3), food=13), ((7, 3), food=13), ((10, 4), food=12), ((11, 3), food=13), ((10, 5), food=12), ((11, 5), food=12)]",5,49,54
10,"((6, 3), food=13)","((7, 3), food=13)",West,"[((5, 3), food=13) via West]","[((6, 3), food=13):55, ((10, 3), food=12):55, ((12, 3), food=13):55, ((9, 5), food=12):55, ((7, 4), food=12):56, ((13, 5), food=11):56]","[((10, 3), food=12):55, ((12, 3), food=13):55, ((9, 5), food=12):55, ((7, 4), food=12):56, ((13, 5), food=11):56, ((5, 3), food=13):56]","[((9, 3), food=13), ((10, 3), food=13), ((8, 3), food=13), ((7, 3), food=13), ((10, 4), food=12), ((11, 3), food=13), ((10, 5), food=12), ((11, 5), food=12), ((12, 5), food=12)]",3,52,55
