iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
22,"(11, 4)","(11, 5)",South,"[(11, 3) via South]","[(11, 4):13, (16, 7):21, (23, 7):28]","[(11, 3):12, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5)]",14,13,13
23,"(11, 3)","(11, 4)",South,"[(11, 2) via South]","[(11, 3):12, (16, 7):21, (23, 7):28]","[(11, 2):11, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4)]",15,12,12
24,"(11, 2)","(11, 3)",South,"[(10, 2) via West]","[(11, 2):11, (16, 7):21, (23, 7):28]","[(10, 2):10, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3)]",16,11,11
25,"(10, 2)","(11, 2)",West,"[(9, 2) via West]","[(10, 2):10, (16, 7):21, (23, 7):28]","[(9, 2):9, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2)]",17,10,10
26,"(9, 2)","(10, 2)",West,"[(9, 3) via North]","[(9, 2):9, (16, 7):21, (23, 7):28]","[(9, 3):10, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2)]",18,9,9
27,"(9, 3)","(9, 2)",North,"[(9, 4) via North]","[(9, 3):10, (16, 7):21, (23, 7):28]","[(9, 4):11, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2)]",19,10,10
28,"(9, 4)","(9, 3)",North,"[(9, 5) via North]","[(9, 4):11, (16, 7):21, (23, 7):28]","[(9, 5):12, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3)]",20,11,11
29,"(9, 5)","(9, 4)",North,"[(9, 6) via North]","[(9, 5):12, (16, 7):21, (23, 7):28]","[(9, 6):13, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4)]",21,12,12
30,"(9, 6)","(9, 5)",North,"[(9, 7) via North]","[(9, 6):13, (16, 7):21, (23, 7):28]","[(9, 7):14, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5)]",22,13,13
31,"(9, 7)","(9, 6)",North,"[(8, 7) via West]","[(9, 7):14, (16, 7):21, (23, 7):28]","[(8, 7):13, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6)]",23,14,14
32,"(8, 7)","(9, 7)",West,"[(7, 7) via West]","[(8, 7):13, (16, 7):21, (23, 7):28]","[(7, 7):12, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7)]",24,13,13
33,"(7, 7)","(8, 7)",West,"[(7, 6) via South]","[(7, 7):12, (16, 7):21, (23, 7):28]","[(7, 6):11, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7)]",25,12,12
34,"(7, 6)","(7, 7)",South,"[(7, 5) via South]","[(7, 6):11, (16, 7):21, (23, 7):28]","[(7, 5):10, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7)]",26,11,11
35,"(7, 5)","(7, 6)",South,"[(7, 4) via South]","[(7, 5):10, (16, 7):21, (23, 7):28]","[(7, 4):9, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (7, 6)]",27,10,10
36,"(7, 4)","(7, 5)",South,"[(7, 3) via South]","[(7, 4):9, (16, 7):21, (23, 7):28]","[(7, 3):8, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5)]",28,9,9
37,"(7, 3)","(7, 4)",South,"[(7, 2) via South]","[(7, 3):8, (16, 7):21, (23, 7):28]","[(7, 2):7, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5), (7, 4)]",29,8,8
38,"(7, 2)","(7, 3)",South,"[(6, 2) via West]","[(7, 2):7, (16, 7):21, (23, 7):28]","[(6, 2):6, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3)]",30,7,7
39,"(6, 2)","(7, 2)",West,"[(5, 2) via West]","[(6, 2):6, (16, 7):21, (23, 7):28]","[(5, 2):5, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (7, 2)]",31,6,6
