iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
12,"(33, 12)","(32, 12)",East,"[(34, 12) via East]","[(33, 12), (33, 16)]","[(34, 12), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12)]",11,0,11
13,"(34, 12)","(33, 12)",East,"[(34, 11) via South]","[(34, 12), (33, 16)]","[(34, 11), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12)]",12,0,12
14,"(34, 11)","(34, 12)",South,"[(34, 10) via South]","[(34, 11), (33, 16)]","[(34, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12)]",13,0,13
15,"(34, 10)","(34, 11)",South,"[(33, 10) via West]","[(34, 10), (33, 16)]","[(33, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11)]",14,0,14
16,"(33, 10)","(34, 10)",West,"[(32, 10) via West]","[(33, 10), (33, 16)]","[(32, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10)]",15,0,15
17,"(32, 10)","(33, 10)",West,"[(31, 10) via West]","[(32, 10), (33, 16)]","[(31, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10)]",16,0,16
18,"(31, 10)","(32, 10)",West,"[(30, 10) via West]","[(31, 10), (33, 16)]","[(30, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10)]",17,0,17
19,"(30, 10)","(31, 10)",West,"[(29, 10) via West, (30, 9) via South]","[(30, 10), (33, 16)]","[(30, 9), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10)]",18,0,18
20,"(30, 9)","(30, 10)",South,"[(30, 8) via South]","[(30, 9), (29, 10), (33, 16)]","[(30, 8), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10)]",19,0,19
21,"(30, 8)","(30, 9)",South,"[(31, 8) via East]","[(30, 8), (29, 10), (33, 16)]","[(31, 8), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9)]",20,0,20
22,"(31, 8)","(30, 8)",East,"[(32, 8) via East]","[(31, 8), (29, 10), (33, 16)]","[(32, 8), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8)]",21,0,21
23,"(32, 8)","(31, 8)",East,"[(33, 8) via East]","[(32, 8), (29, 10), (33, 16)]","[(33, 8), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8)]",22,0,22
24,"(33, 8)","(32, 8)",East,"[(34, 8) via East]","[(33, 8), (29, 10), (33, 16)]","[(34, 8), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8)]",23,0,23
25,"(34, 8)","(33, 8)",East,"[(34, 7) via South]","[(34, 8), (29, 10), (33, 16)]","[(34, 7), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8)]",24,0,24
26,"(34, 7)","(34, 8)",South,"[(34, 6) via South]","[(34, 7), (29, 10), (33, 16)]","[(34, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8)]",25,0,25
27,"(34, 6)","(34, 7)",South,"[(33, 6) via West]","[(34, 6), (29, 10), (33, 16)]","[(33, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (34, 7)]",26,0,26
