iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
14,"(31, 4)","(31, 3)",North,"[(31, 5) via North]","[(31, 4):40, (35, 5):42, (33, 5):42]","[(35, 5):42, (33, 5):42, (31, 5):42]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (35, 4), (33, 4)]",7,33,40
15,"(35, 5)","(35, 4)",North,[],"[(35, 5):42, (33, 5):42, (31, 5):42]","[(33, 5):42, (31, 5):42]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (35, 4), (33, 4), (31, 4)]",4,38,42
16,"(33, 5)","(33, 4)",North,"[(33, 6) via North]","[(33, 5):42, (31, 5):42]","[(31, 5):42, (33, 6):44]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (35, 4), (33, 4), (31, 4), (35, 5)]",6,36,42
17,"(31, 5)","(31, 4)",North,"[(31, 6) via North, (30, 5) via West]","[(31, 5):42, (33, 6):44]","[(30, 5):42, (33, 6):44, (31, 6):44]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (35, 4), (33, 4), (31, 4), (35, 5), (33, 5)]",8,34,42
18,"(30, 5)","(31, 5)",West,"[(29, 5) via West]","[(30, 5):42, (33, 6):44, (31, 6):44]","[(29, 5):42, (33, 6):44, (31, 6):44]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (35, 4), (33, 4), (31, 4), (35, 5), (33, 5), (31, 5)]",9,33,42
19,"(29, 5)","(30, 5)",West,"[(29, 4) via South]","[(29, 5):42, (33, 6):44, (31, 6):44]","[(29, 4):42, (33, 6):44, (31, 6):44]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (35, 4), (33, 4), (31, 4), (35, 5), (33, 5), (31, 5), (30, 5)]",10,32,42
20,"(29, 4)","(29, 5)",South,"[(29, 3) via South]","[(29, 4):42, (33, 6):44, (31, 6):44]","[(29, 3):42, (33, 6):44, (31, 6):44]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (35, 4), (33, 4), (31, 4), (35, 5), (33, 5), (31, 5), (30, 5), (29, 5)]",11,31,42
21,"(29, 3)","(29, 4)",South,"[(28, 3) via West]","[(29, 3):42, (33, 6):44, (31, 6):44]","[(28, 3):42, (33, 6):44, (31, 6):44]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (35, 4), (33, 4), (31, 4), (35, 5), (33, 5), (31, 5), (30, 5), (29, 5), (29, 4)]",12,30,42
22,"(28, 3)","(29, 3)",West,"[(27, 3) via West]","[(28, 3):42, (33, 6):44, (31, 6):44]","[(27, 3):42, (33, 6):44, (31, 6):44]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (35, 4), (33, 4), (31, 4), (35, 5), (33, 5), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3)]",13,29,42
23,"(27, 3)","(28, 3)",West,"[(27, 4) via North, (27, 2) via South, (26, 3) via West]","[(27, 3):42, (33, 6):44, (31, 6):44]","[(27, 2):42, (26, 3):42, (33, 6):44, (31, 6):44, (27, 4):44]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (35, 4), (33, 4), (31, 4), (35, 5), (33, 5), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3)]",14,28,42
