iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(1, 1)",,,"[(1, 2) via North, (2, 1) via East]","[(1, 1)]","[(1, 2), (2, 1)]",[],0,0,0
2,"(1, 2)",,,"[(1, 3) via North, (1, 1) via South, (2, 2) via East]","[(1, 2)]","[(1, 3), (1, 1), (2, 2)]",[],0,0,0
3,"(1, 3)","(1, 2)",North,"[(1, 4) via North, (2, 3) via East]","[(1, 3), (1, 1), (2, 2)]","[(1, 1), (2, 2), (1, 4), (2, 3)]","[(1, 2)]",1,0,1
4,"(1, 1)","(1, 2)",South,"[(2, 1) via East]","[(1, 1), (2, 2), (1, 4), (2, 3)]","[(2, 2), (1, 4), (2, 3), (2, 1)]","[(1, 2), (1, 3)]",1,0,1
5,"(1, 6)",,,"[(1, 7) via North, (1, 5) via South]","[(1, 6)]","[(1, 7), (1, 5)]",[],0,0,0
6,"(1, 7)","(1, 6)",North,"[(1, 8) via North]","[(1, 7), (1, 5)]","[(1, 5), (1, 8)]","[(1, 6)]",1,0,1
7,"(1, 5)","(1, 6)",South,"[(1, 4) via South]","[(1, 5), (1, 8)]","[(1, 8), (1, 4)]","[(1, 6), (1, 7)]",1,0,1
8,"(1, 3)",,,"[(1, 4) via North, (1, 2) via South, (2, 3) via East]","[(1, 3)]","[(1, 4), (1, 2), (2, 3)]",[],0,0,0
9,"(1, 4)","(1, 3)",North,"[(1, 5) via North, (2, 4) via East]","[(1, 4), (1, 2), (2, 3)]","[(1, 2), (2, 3), (1, 5), (2, 4)]","[(1, 3)]",1,0,1
10,"(1, 2)","(1, 3)",South,"[(1, 1) via South, (2, 2) via East]","[(1, 2), (2, 3), (1, 5), (2, 4)]","[(2, 3), (1, 5), (2, 4), (1, 1), (2, 2)]","[(1, 3), (1, 4)]",1,0,1
11,"(2, 3)","(1, 3)",East,[],"[(2, 3), (1, 5), (2, 4), (1, 1), (2, 2)]","[(1, 5), (2, 4), (1, 1), (2, 2)]","[(1, 3), (1, 4), (1, 2)]",1,0,1
12,"(1, 5)","(1, 4)",North,"[(2, 5) via East]","[(1, 5), (2, 4), (1, 1), (2, 2)]","[(2, 4), (1, 1), (2, 2), (2, 5)]","[(1, 3), (1, 4), (1, 2), (2, 3)]",2,0,2
13,"(2, 4)","(1, 4)",East,[],"[(2, 4), (1, 1), (2, 2), (2, 5)]","[(1, 1), (2, 2), (2, 5)]","[(1, 3), (1, 4), (1, 2), (2, 3), (1, 5)]",2,0,2
14,"(1, 1)","(1, 2)",South,"[(2, 1) via East]","[(1, 1), (2, 2), (2, 5)]","[(2, 2), (2, 5), (2, 1)]","[(1, 3), (1, 4), (1, 2), (2, 3), (1, 5), (2, 4)]",2,0,2
15,"(2, 2)","(1, 2)",East,[],"[(2, 2), (2, 5), (2, 1)]","[(2, 5), (2, 1)]","[(1, 3), (1, 4), (1, 2), (2, 3), (1, 5), (2, 4), (1, 1)]",2,0,2
16,"(3, 2)",,,"[(3, 3) via North, (3, 1) via South]","[(3, 2)]","[(3, 3), (3, 1)]",[],0,0,0
17,"(3, 3)","(3, 2)",North,"[(3, 4) via North]","[(3, 3), (3, 1)]","[(3, 1), (3, 4)]","[(3, 2)]",1,0,1
18,"(2, 2)",,,"[(2, 3) via North, (2, 1) via South, (3, 2) via East, (1, 2) via West]","[(2, 2)]","[(2, 3), (2, 1), (3, 2), (1, 2)]",[],0,0,0
